"","TripID","GateCode","Site","TrapType","BrowserCt","BrowserMass_g","BrowserCtRatio","BrowserMassRatio","GrazerCt","GrazerMass_g","GrazerCtRatio","GrazerMassRatio","ScraperCt","ScraperMass_g","ScraperCtRatio","ScraperMassRatio","OtherCt","OtherMass_g","OtherCtRatio","OtherMassRatio","KeyHerbivoreCt","KeyHerbivoreMass_g","KeyHerbivoreCtRatio","KeyHerbivoreMassRatio","TotalCt","TotalMass_g"
"51","ISREN1631P","T","Bamburi","Traditional",3,879.5,0.75,0.83801810385898,1,170,0.25,0.16198189614102,0,0,0,0,0,0,0,0,4,1049.5,1,1,4,1049.5
"52","ISREN1631P","G4","Bamburi","Gated",0,0,0,0,2,160.4,0.285714285714286,0.217668611751934,0,0,0,0,5,576.5,0.714285714285714,0.782331388248066,2,160.4,0.285714285714286,0.217668611751934,7,736.9
"53","KWVDC4477M","T","Bamburi","Traditional",2,387.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,387.1,1,1,2,387.1
"54","KWVDC4477M","G4","Bamburi","Gated",4,802.8,0.8,0.833818030743664,0,0,0,0,0,0,0,0,1,160,0.2,0.166181969256336,4,802.8,0.8,0.833818030743664,5,962.8
"55","PMGBZ9811N","T","Bamburi","Traditional",3,456.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,456.5,1,1,3,456.5
"56","PMGBZ9811N","G4","Bamburi","Gated",2,800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,800,1,1,2,800
"57","TQVWU6363A","T","Bamburi","Traditional",1,408,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,408,1,1,1,408
"58","TQVWU6363A","G4","Bamburi","Gated",3,526,0.75,0.67066173658039,0,0,0,0,0,0,0,0,1,258.3,0.25,0.32933826341961,3,526,0.75,0.67066173658039,4,784.3
"59","RDNPD1552P","G4","Bamburi","Gated",1,500,0.5,0.624063904143784,0,0,0,0,0,0,0,0,1,301.2,0.5,0.375936095856216,1,500,0.5,0.624063904143784,2,801.2
"60","YQMIL5342Z","T","Bamburi","Traditional",1,314.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,314.2,1,1,1,314.2
"61","YQMIL5342Z","G4","Bamburi","Gated",2,577.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,577.2,1,1,2,577.2
"62","FDDMU2380P","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,1,251.2,1,1,0,0,0,0,1,251.2
"63","FDDMU2380P","G4","Bamburi","Gated",1,137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,137,1,1,1,137
"64","PLVJO8061S","T","Bamburi","Traditional",1,362,0.25,0.550570342205323,0,0,0,0,0,0,0,0,3,295.5,0.75,0.449429657794677,1,362,0.25,0.550570342205323,4,657.5
"65","PLVJO8061S","G4","Bamburi","Gated",2,440,0.666666666666667,0.52916416115454,0,0,0,0,0,0,0,0,1,391.5,0.333333333333333,0.47083583884546,2,440,0.666666666666667,0.52916416115454,3,831.5
"66","WTACR1760N","T","Bamburi","Traditional",1,295.1,0.333333333333333,0.429049142192498,1,215.7,0.333333333333333,0.313608607153242,0,0,0,0,1,177,0.333333333333333,0.25734225065426,2,510.8,0.666666666666667,0.74265774934574,3,687.8
"67","WTACR1760N","G4","Bamburi","Gated",2,275.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,275.5,1,1,2,275.5
"68","WEXTY8984G","T","Bamburi","Traditional",2,495,0.666666666666667,0.466981132075472,0,0,0,0,0,0,0,0,1,565,0.333333333333333,0.533018867924528,2,495,0.666666666666667,0.466981132075472,3,1060
"69","WEXTY8984G","G4","Bamburi","Gated",4,965,0.8,0.800829875518672,0,0,0,0,0,0,0,0,1,240,0.2,0.199170124481328,4,965,0.8,0.800829875518672,5,1205
"70","SEABT6493S","T","Bamburi","Traditional",0,0,0,0,1,145,0.5,0.344009489916963,0,0,0,0,1,276.5,0.5,0.655990510083037,1,145,0.5,0.344009489916963,2,421.5
"71","SEABT6493S","G4","Bamburi","Gated",4,1174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1174,1,1,4,1174
"72","GIYNB4028S","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,3,935,1,1,0,0,0,0,3,935
"73","GIYNB4028S","G4","Bamburi","Gated",1,260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,260,1,1,1,260
"74","ZVXYN8965V","T","Bamburi","Traditional",3,783,0.6,0.757619738751814,1,175,0.2,0.169327527818094,0,0,0,0,1,75.5,0.2,0.0730527334300919,4,958,0.8,0.926947266569908,5,1033.5
"75","ZVXYN8965V","G4","Bamburi","Gated",1,195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,195,1,1,1,195
"76","RMRQO8127M","T","Bamburi","Traditional",1,300,0.5,0.46875,0,0,0,0,0,0,0,0,1,340,0.5,0.53125,1,300,0.5,0.46875,2,640
"77","YANWL0593L","G4","Bamburi","Gated",2,450,0.666666666666667,0.542168674698795,0,0,0,0,0,0,0,0,1,380,0.333333333333333,0.457831325301205,2,450,0.666666666666667,0.542168674698795,3,830
"78","BUKLD2009N","T","Bamburi","Traditional",1,120,0.25,0.375,1,80,0.25,0.25,0,0,0,0,2,120,0.5,0.375,2,200,0.5,0.625,4,320
"79","BUKLD2009N","G4","Bamburi","Gated",1,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,300,1,1,1,300
"80","QXTTB8846A","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,1,140,1,1,0,0,0,0,1,140
"81","KSLDV3718N","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,1,220,1,1,0,0,0,0,1,220
"82","KSLDV3718N","G4","Bamburi","Gated",1,260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,260,1,1,1,260
"83","VKSXD7147N","T","Bamburi","Traditional",2,500,0.333333333333333,0.625,2,160,0.333333333333333,0.2,0,0,0,0,2,140,0.333333333333333,0.175,4,660,0.666666666666667,0.825,6,800
"84","VKSXD7147N","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,1,560,1,1,0,0,0,0,1,560
"85","OHXKC4855P","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,2,250,1,1,0,0,0,0,2,250
"86","WYDZP1721V","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,2,120,1,1,0,0,0,0,2,120
"87","WYDZP1721V","G4","Bamburi","Gated",2,375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,375,1,1,2,375
"88","VHNBK5347C","G4","Bamburi","Gated",1,200,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,2,100,0.666666666666667,0.333333333333333,1,200,0.333333333333333,0.666666666666667,3,300
"89","CYWBA5724D","T","Bamburi","Traditional",2,356,0.666666666666667,0.470899470899471,0,0,0,0,0,0,0,0,1,400,0.333333333333333,0.529100529100529,2,356,0.666666666666667,0.470899470899471,3,756
"90","CYWBA5724D","G4","Bamburi","Gated",2,620,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,620,1,1,2,620
"91","AGJCM9618K","T","Bamburi","Traditional",4,745,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,745,1,1,4,745
"92","AGJCM9618K","G4","Bamburi","Gated",5,1000,0.833333333333333,0.826446280991736,0,0,0,0,0,0,0,0,1,210,0.166666666666667,0.173553719008264,5,1000,0.833333333333333,0.826446280991736,6,1210
"93","NSXNF0112I","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,3,720,1,1,0,0,0,0,3,720
"94","NSXNF0112I","G4","Bamburi","Gated",6,1160,0.666666666666667,0.783783783783784,0,0,0,0,0,0,0,0,3,320,0.333333333333333,0.216216216216216,6,1160,0.666666666666667,0.783783783783784,9,1480
"95","PJLQR4158C","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,2,940,1,1,0,0,0,0,2,940
"96","PJLQR4158C","G4","Bamburi","Gated",5,1020,0.625,0.796875,2,240,0.25,0.1875,0,0,0,0,1,20,0.125,0.015625,7,1260,0.875,0.984375,8,1280
"97","FNQOI3925H","G4","Bamburi","Gated",4,960,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,960,1,1,4,960
"98","OBKGP8673S","G4","Bamburi","Gated",1,220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,220,1,1,1,220
"99","ACYDO8743S","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,2,660,1,1,0,0,0,0,2,660
"100","ACYDO8743S","G4","Bamburi","Gated",2,260,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,1,1,2,260
"101","QZHQK2124N","G4","Bamburi","Gated",2,420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,420,1,1,2,420
"102","PLRSA3557C","T","Bamburi","Traditional",2,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,400,1,1,2,400
"103","PLRSA3557C","G4","Bamburi","Gated",1,160,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,160,1,1,1,160
"104","IZRHR4574D","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,1,0,0,0,0,1,90
"105","SONJQ1960N","G4","Bamburi","Gated",1,160,0.2,0.114285714285714,0,0,0,0,0,0,0,0,4,1240,0.8,0.885714285714286,1,160,0.2,0.114285714285714,5,1400
"106","FJEQO0890T","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,7,535,1,1,0,0,0,0,7,535
"107","FJEQO0890T","G4","Bamburi","Gated",2,580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,580,1,1,2,580
"108","UHVTE2788L","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,3,175,1,1,0,0,0,0,3,175
"109","UHVTE2788L","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,1,190,1,1,0,0,0,0,1,190
"110","PVDCB6616D","G4","Bamburi","Gated",2,540,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,540,1,1,2,540
"111","OKZLZ5692Q","T","Bamburi","Traditional",1,215,0.25,0.413461538461538,1,165,0.25,0.317307692307692,0,0,0,0,2,140,0.5,0.269230769230769,2,380,0.5,0.730769230769231,4,520
"112","OKZLZ5692Q","G4","Bamburi","Gated",4,1040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1040,1,1,4,1040
"113","UTMRM3531O","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,2,140,1,1,0,0,0,0,2,140
"114","UTMRM3531O","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,1,140,1,1,0,0,0,0,1,140
"115","MEMXN0500J","T","Bamburi","Traditional",2,800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,800,1,1,2,800
"116","DORQJ3575V","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,1,200,1,1,0,0,0,0,1,200
"117","EAVAX4200H","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,5,485,1,1,0,0,0,0,5,485
"118","EAVAX4200H","G4","Bamburi","Gated",3,845,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,845,1,1,3,845
"119","XBEUS1970R","T","Bamburi","Traditional",3,440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,440,1,1,3,440
"120","XBEUS1970R","G4","Bamburi","Gated",5,1450,0.833333333333333,0.90625,1,150,0.166666666666667,0.09375,0,0,0,0,0,0,0,0,6,1600,1,1,6,1600
"121","DWKES9496M","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,3,360,1,1,0,0,0,0,3,360
"122","DWKES9496M","G4","Bamburi","Gated",4,1120,0.571428571428571,0.533333333333333,0,0,0,0,0,0,0,0,3,980,0.428571428571429,0.466666666666667,4,1120,0.571428571428571,0.533333333333333,7,2100
"123","DWARC7021I","G4","Bamburi","Gated",4,1000,0.8,0.641025641025641,0,0,0,0,0,0,0,0,1,560,0.2,0.358974358974359,4,1000,0.8,0.641025641025641,5,1560
"124","FGETM6311F","G4","Bamburi","Gated",2,580,0.666666666666667,0.852941176470588,0,0,0,0,0,0,0,0,1,100,0.333333333333333,0.147058823529412,2,580,0.666666666666667,0.852941176470588,3,680
"125","DMKOR1856O","T","Bamburi","Traditional",5,1160,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1160,1,1,5,1160
"126","DMKOR1856O","G4","Bamburi","Gated",16,4910,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,4910,1,1,16,4910
"127","POVVG3458O","T","Bamburi","Traditional",6,1070,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1070,1,1,6,1070
"128","POVVG3458O","G4","Bamburi","Gated",7,1820,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1820,1,1,7,1820
"129","KTDTD0584B","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,6,890,1,1,0,0,0,0,6,890
"130","KTDTD0584B","G4","Bamburi","Gated",5,1470,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1470,1,1,5,1470
"131","IAZON5195D","T","Bamburi","Traditional",2,550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,550,1,1,2,550
"132","IAZON5195D","G4","Bamburi","Gated",7,2180,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2180,1,1,7,2180
"133","EKVBB3173G","T","Bamburi","Traditional",1,220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,220,1,1,1,220
"134","EKVBB3173G","G4","Bamburi","Gated",4,950,0.666666666666667,0.673758865248227,0,0,0,0,0,0,0,0,2,460,0.333333333333333,0.326241134751773,4,950,0.666666666666667,0.673758865248227,6,1410
"135","PPVLO8628M","T","Bamburi","Traditional",7,1510,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1510,1,1,7,1510
"136","PPVLO8628M","G4","Bamburi","Gated",3,710,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,710,1,1,3,710
"137","EUELP6543X","T","Bamburi","Traditional",4,830,0.571428571428571,0.747747747747748,0,0,0,0,0,0,0,0,3,280,0.428571428571429,0.252252252252252,4,830,0.571428571428571,0.747747747747748,7,1110
"138","EUELP6543X","G4","Bamburi","Gated",8,1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1990,1,1,8,1990
"139","NGGQL9876V","T","Bamburi","Traditional",2,560,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,560,1,1,2,560
"140","VJDSQ2149J","T","Bamburi","Traditional",1,460,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,460,1,1,1,460
"141","VJDSQ2149J","G4","Bamburi","Gated",2,610,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,610,1,1,2,610
"142","DZHFZ0420P","T","Bamburi","Traditional",3,570,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,570,1,1,3,570
"143","DZHFZ0420P","G4","Bamburi","Gated",3,980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,980,1,1,3,980
"144","HNJCG1455Q","G4","Bamburi","Gated",2,520,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,520,1,1,2,520
"145","OERDC1546P","T","Bamburi","Traditional",1,200,0.25,0.333333333333333,1,140,0.25,0.233333333333333,0,0,0,0,2,260,0.5,0.433333333333333,2,340,0.5,0.566666666666667,4,600
"146","OERDC1546P","G4","Bamburi","Gated",1,280,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,280,1,1,1,280
"147","VXOBY2488V","T","Bamburi","Traditional",1,210,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,210,1,1,1,210
"148","WYBWB6385X","T","Bamburi","Traditional",2,430,0.5,0.530864197530864,0,0,0,0,2,380,0.5,0.469135802469136,0,0,0,0,4,810,1,1,4,810
"149","WYBWB6385X","G4","Bamburi","Gated",0,0,0,0,0,0,0,0,0,0,0,0,1,240,1,1,0,0,0,0,1,240
"150","CRZHM9968S","G4","Bamburi","Gated",1,740,0.5,0.569230769230769,0,0,0,0,0,0,0,0,1,560,0.5,0.430769230769231,1,740,0.5,0.569230769230769,2,1300
"151","PPBVY0816M","T","Bamburi","Traditional",3,82.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,82.2,1,1,3,82.2
"152","PPBVY0816M","G4","Bamburi","Gated",2,62.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,62.5,1,1,2,62.5
"153","HHZAM3374F","T","Bamburi","Traditional",0,0,0,0,0,0,0,0,0,0,0,0,2,200,1,1,0,0,0,0,2,200
"154","HHZAM3374F","G4","Bamburi","Gated",2,700,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,700,1,1,2,700
"155","HTTBP5237P","T","Bamburi","Traditional",1,240,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,240,1,1,1,240
"156","HTTBP5237P","G4","Bamburi","Gated",5,1550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1550,1,1,5,1550
"157","LVGSU0119Q","T","Bamburi","Traditional",4,1360,0.666666666666667,0.834355828220859,0,0,0,0,0,0,0,0,2,270,0.333333333333333,0.165644171779141,4,1360,0.666666666666667,0.834355828220859,6,1630
"158","LVGSU0119Q","G4","Bamburi","Gated",4,1530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1530,1,1,4,1530
"159","JISZX9181W","T","Bamburi","Traditional",3,700,0.6,0.593220338983051,0,0,0,0,2,480,0.4,0.406779661016949,0,0,0,0,5,1180,1,1,5,1180
"160","JISZX9181W","G4","Bamburi","Gated",4,1480,0.8,0.845714285714286,0,0,0,0,1,270,0.2,0.154285714285714,0,0,0,0,5,1750,1,1,5,1750
"161","ICSDS1985C","T","Bamburi","Traditional",1,400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,400,1,1,1,400
"162","ICSDS1985C","G4","Bamburi","Gated",2,670,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,670,1,1,2,670
