"","Species","DemersPelag","Length","Comments"
"11","Leptoscarus vaigiensis","reef-associated",35,"Found in sheltered bays, harbors and lagoons (Ref. 48636).  Inhabits seagrass areas or areas with hard substrates heavy with algal cover.  Usually occur in small groups.  Unlike other parrotfishes, males and females look very similar and do not change sex (Ref. 48636).  Feeds on seagrasses and algae (Ref. 30573).  Marketed fresh (Ref. 5284)."
"12","Ctenochaetus striatus","reef-associated",26,"Inhabits reef flats and lagoon and seaward reefs to a depth of over 30 m.  Occurs over coral (Ref. 58534), rock, pavement, or rubble substrates.  May occur singly or in small to very large, often mixed-species aggregations (Ref. 48637).  Feeds on surface film of blue-green algae and diatoms (making this species a key link in the ciguatera food chain) as well as on various small invertebrates."
"13","Ostracion cubicus",NA,NA,NA
"14","Scarus russelli",NA,NA,NA
"15","Arothron hispidus","reef-associated",50,"Inhabit outer reef slopes to depths of at least 50 m, inner reef flats and lagoons.  Juveniles common in weedy areas of estuaries (Ref. 4919).  Also found in coastal bays and estuaries, usually near rocky reef or on sand-stretches between reefs with low algae-rubble reef to about 20 meters depth, or in shallow with sparse seagrass growth (Ref. 48637).  Benthopelagic (Ref. 58302).  Usually solitary and territorial on sandy to rubble areas.  Feed on fleshy, calcareous, or coralline algae, detritus, mollusks, tunicates, sponges, corals, zoanthid anemones, crabs, tube worms and echinoderms (Ref. 1602)."
"16","Arothron nigropunctatus","reef-associated",33,"Inhabit coastal to outer reef crest and slopes with rich invertebrate growth. Sometimes solitary (Ref. 90102). Adults often in pairs (Ref. 48637).  Feed on corals (usually <i>Acropora tips</i>), crustaceans, mollusks,  sponges, tunicates and algae (Ref. 2334).  Generally common (Ref. 9710)."
"17","Lethrinus mahsena","reef-associated",65,"Found over reef areas and adjacent sandy and seagrass areas (Ref. 30573, 41878).  Feeds mainly on echinoderms (most frequently sea urchins), crustaceans and fishes; mollusks, tunicates, sponges, polychaetes and other worms are consumed in lesser quantities.  A protogynous hermaphrodite (Ref. 55367).  In most areas of the Red Sea, it is considered an excellent food fish but in certain areas of the Indian Ocean it may have an unpleasant 'coral' smell and taste (Ref. 2295, 11888).  Utilized fresh for broiling and baking (Ref. 9987)."
"18","Lethrinus nebulosus","reef-associated",87,"Inhabit coral reefs, coralline lagoons, seagrass beds, mangrove swamps, flat sand bottoms, and coastal rock areas.  Adults solitary or in small schools; juveniles form large schools in shallow, sheltered sandy areas, also harbors where seagrasses, algae or sponge habitats are found at various depths.  Feed on echinoderms, mollusks and crustaceans, and to some extent on polychaetes and fish.  The reproductive nature of spangled emperors is uncertain, although they also may be protogynous hermaphrodites (Ref. 27260, 55367).  However, recent study classified juvenile hermaphroditism for this species wherein transition from ovary to testis occurs before ovarian maturation, hence, no true sex-reversal in the sense of protogynous hermaphroditism is observed (Ref. 107020).  May have a coppery or iodine taste or smell in the Indian Ocean (Ref. 2295, 11888).  It has been shown that this species can survive for long periods in salinities as low as 10 parts per thousand and therefore it is a potential estuarine aquaculture species (Ref. 2295).  Taken by handline, traps, trawls, seines, and gill nets. Marketed mostly fresh. Very important commercial and sport fish in some countries (Ref. 68703)."
"19","Diodon holocanthus","reef-associated",50,"Inhabit shallow reefs to open, soft bottoms.  Also in areas with rocky substrata.  Sometimes form groups (Ref. 9710, 48637).  Occur on open muddy substrates as well as on rich soft-bottom and coral reefs.  Juveniles often with floating <i>Sargassum</i> rafts.  Young and sub-adults may form small groups (Ref. 48637).  Benthopelagic (Ref. 58302).  Juveniles pelagic to about 6-9 cm.  Solitary.  Feed on mollusks, sea urchins, hermit crabs, and crabs at  night  (Ref. 9680).  Relatively poor swimmers (Ref. 9710).  Used in Chinese medicine (Ref. 12166).  Captured at the surface using a hand net (Ref. 26165)."
"20","Lagocephalus inermis","demersal",90,"Found in the shelf edge (Ref. 11230).  Closely resembles the Atlantic species <i>L. laevigatus</i> Linnaeus which reaches southern Angola (Ref. 4919)."
"21","Diodon liturosus","reef-associated",65,"Inhabits reef edges and slopes (Ref. 6113, 48637).  Hides in caves and ledges during the day and forages at night (Ref. 9680).  Also found below plate-corals during the day and often deep, ranging to at least 40 meters depth.  Juveniles occur in lagoons and estuaries (Ref. 48637).   Solitary.  Feeds on crustaceans and mollusks.  Not usually marketed (Ref. 9680)."
"22","Lethrinus lentjan","reef-associated",52,"Inhabits sandy bottoms in coastal areas, deep lagoons and near coral reefs (Ref. 30573).  Juveniles and small adults commonly in loose aggregations over seagrass beds, mangrove swamps and shallow sandy areas while adults are generally solitary in deeper waters.  Feeds primarily on crustaceans and mollusks but echinoderms, polychaetes and fishes are also consumed in considerable quantities (Ref. 2295).  A protogynous hermaphrodite (Ref. 55367). Caught primarily by handline, traps, trawls, beach seines, and gill nets. Marketed mostly fresh (Ref. 68703)."
"23","Scarus niger","reef-associated",40,"Inhabits coral-rich areas of clear lagoons, channels, and outer reef slopes (Ref. 9710).  Generally solitary (Ref. 1602).  Juveniles in small groups on algae and coral reefs inshore (Ref. 48636).  Feeds on benthic algae (Ref. 30573).  Males maintain small harems and pair spawn (Ref. 1602).  Minimum depth reported from Ref. 9710."
"24","Scarus psittacus","reef-associated",34,"Inhabit reef flats and lagoon and seaward reefs to at least 25 m depth (Ref. 1602).  Found over corals (Ref. 5213, 58652).  Benthopelagic (Ref. 58302).  Initial-phase fish stage usually form small feeding schools (Ref. 2334).  Graze on benthic algae (Ref. 3488).  Secrete a mucus cocoon (Ref. 1602)."
"25","Scarus ghobban","reef-associated",75,"Adults inhabit lagoon and seaward reefs (Ref. 1602), in slopes and drop-offs (Ref. 48636), often solitary but may sometimes occur in small groups (Ref. 9710, 48636).  Males common in atolls where they live mainly around the inner and outer edges of barrier reefs at depths of about 30 ft; females prefer deeper habitat (Ref. 4821).  Small juveniles in groups are found inshore on algae reef habitat (Ref. 9710, 48636) and sometimes enter silty, murky environments (Ref. 5490).  Feed by scraping algae from rocks and corals (Ref. 5227).  Are protogynous hermaphrodites (Ref. 55367).  Caught with nets and other types of artisanal gear.  Marketed fresh (Ref. 5284).  In the Hong Kong live fish markets (Ref. 27253).  Minimum depth reported from Ref. 90102."
"26","Chaetodon lineolatus","reef-associated",30,"Occur in lagoon and seaward reefs, usually in pairs in coral rich areas (Ref. 1602).  Benthopelagic (Ref. 58302).  Feed mainly on coral polyps and anemones, but also on small invertebrates and algae (Ref. 1602).  Largest species in the genus (Ref. 9710).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205)."
"27","Siganus stellatus","reef-associated",40,"Common in coral reefs; juveniles enter weedy estuaries (Ref. 4407).  Juveniles and subadults form schools, adults in pairs.  Adults feed on benthic seaweeds (Ref. 9813).  Anterolateral glandular grooves with venom gland (Ref. 57406)."
"28","Aluterus scriptus","reef-associated",110,"Inhabit lagoon and seaward reefs (Ref. 9710).  Occasionally are seen under floating objects (Ref. 1602).  Juveniles may travel with weed rafts in open ocean for a long time and reaching a large size.  Adults are usually seen along deep coastal slopes or outer reef drop-offs in about 20 meters depth (Ref. 48637).  Benthopelagic (Ref. 58302).  Feed on algae, seagrass, hydrozoans, gorgonians, colonial anemones, and tunicates.  Caught at the surface using a hand net (Ref. 26165)."
"29","Lethrinus variegatus","reef-associated",20,"Inhabits sandy and weedy areas near coral reefs, solitarily or in groups (Ref. 30573, 90102), where it is well camouflaged and usually swims in the cover of the substrate (Ref. 48635).  Juveniles sometimes abundant in shallow, weedy areas (Ref. 4369).  Solitary or in small groups (Ref. 90102).  Feeds on small benthic invertebrates (Ref. 30573).  A protogynous hermaphrodite (Ref. 55367).  Flesh of large individuals is  esteemed (Ref. 4369)."
"30","Dascyllus trimaculatus","reef-associated",14,"Adults inhabit coral and rocky reefs, juveniles often commensal with large sea anemones, sea urchins, or small coral heads (Ref. 4391, 48636).  They occur in small to large aggregations.  Stomach contents include algae, copepods, and other planktonic crustaceans (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205). Diurnal species (Ref. 54980; 120737)."
"31","Naso branchycentron",NA,NA,NA
"32","Rhinecanthus aculeatus","reef-associated",30,"Commonly found in subtidal reef flats and shallow protected lagoons, Ref. 48637.  Benthopelagic (Ref. 58302).  Juveniles secretive with rubble patches, adults swim about openly but are usually shy (Ref. 48637).  Territorial.  Feed on algae, detritus, mollusks, crustaceans, worms, sea urchins, fishes, corals, tunicates, forams, and eggs (Ref. 3921).  Oviparous (Ref. 205).  Sleep on its side; makes a whirring noise when alarmed (Ref. 4420).  Also caught with drive-in nets and is considered a popular aquarium fish (Ref. 9770)."
"33","Cephalopholis argus","reef-associated",60,"A generally common species (Ref. 9710).  Adults are benthic and benthopelagic in a variety of coral habitats (Ref. 58534, 58302) from tide pools to depths of at least 40 m; preferring the 1 to 10 m reef zone. Juveniles prefer shallow, protected coral thickets (Ref. 37816).  Mature adults are found in social units comprising up to 12 adults, including 1 dominant male and each group occupies a specific area (up to 2,000 sq. m.) that is defended by the territorial male and subdivided into secondary territories, each inhabited by a single female (Ref. 39231).  At times, they may also be solitary (Ref. 90102). Adults feed mainly on fishes (75-95%) and to a lesser extent on crustaceans. In the Red Sea, they feed early in the morning and late afternoon (Ref. 6775) but in Madagascar, they appear to feed more at night (Ref. 6774). They are implicated in ciguatera at some of the islands in the Pacific region. They can be seen in Hong Kong live fish markets (Ref. 27253). They are important to artisanal fisheries throughout the Indo-West Pacific region and often caught with hook-and-line, spear, and in traps (Ref. 39231)."
"34","Chaetodon vagabundus","reef-associated",23,"Adults are found in reef flats, lagoon and seaward reefs and sometimes in turbid waters subject to freshwater runoff swimming in pairs. They are omnivorous, feeding on algae, coral polyps, crustaceans and worms (Ref. 5503). They are oviparous (Ref. 205) and monogamous (Ref. 52884). Stable monogamous pairs with both pair members jointly defending a feeding territory against other pairs (Ref. 58331) occur, but often accompany other species without being aggressive. They are easily maintained in tanks."
"35","Thalassoma purpureum","reef-associated",46,"Found almost exclusively in the surge zone of outer reef flats, reef margins, and rocky coastlines, down to a depth of about 10 m (Ref. 5213).  Benthopelagic (Ref. 58302).  Occur in groups of females that are spread out over large reef sections and dominated by few males.  Males grow much larger than females (Ref. 48636).  Feed on small invertebrates (crabs, sea urchins, brittlestars, mollusks), small fishes, echinoids, ophiuroids and polychaetes (Ref. 37816).  Protogynous (Ref. 55080)."
"36","Rhinecanthus rectangulus","reef-associated",30,"Occur in shallow outer reefs subject to surge (Ref. 9770, 48637).  Commonly found over barren rock or the spur-and-groove zone where there is a mixture of bare rock, rubble, and coral.  Juveniles on algae reef (Ref. 48637).  Benthopelagic (Ref. 58302).  Feed on algae, detritus, mollusks, crustaceans, worms, echinoderms, fishes, sponges, foraminiferans, and eggs.  Territorial.  Oviparous (Ref. 205).  Also taken by drive-in nets (Ref. 9770)."
"37","Chaetodon lunula","reef-associated",20,"Nocturnal species that is usually in pairs or small groups in shallow reef flats of lagoon and seaward reefs to depths of over 30 m.  Juvenile occurs among rocks of inner reef flats and in tide pools (Ref. 205).  Benthopelagic (Ref. 58302).  Adult feeds mainly on nudibranchs, tubeworm tentacles, and other benthic invertebrates, also feeds on algae and coral polyps.  Oviparous (Ref. 205).  Forms pairs during breeding (Ref. 205)."
"38","Cheilinus trilobatus","reef-associated",45,"Adults inhabit lagoon and seaward reefs at depths of 1 to over 30 m, and relatively common along shallow reef margins with good coral cover (Ref. 9710).  Usually solitary (Ref. 5213).  Feed mainly on shelled benthic invertebrates such as mollusks and crustaceans, but occasionally take fishes (Ref. 1602).  Oviparous, distinct pairing during breeding (Ref. 205).  Difficult to approach (Ref. 9710).  Juveniles secretive on algae reefs and usually around stinging hydrozoans (Ref. 48636)."
"39","Diodon hystrix","reef-associated",91,"Occur in lagoon and seaward reefs to at least 50 m.  Commonly seen in caves and holes in shallow reefs (Ref. 26938, 48637).  Juveniles to about 20 cm are pelagic.  Adults benthic (Ref. 30573).  Solitary and nocturnal that feed on hard shelled invertebrates like sea urchins, gastropods, and hermit crabs (Ref. 9680).  Generally common (Ref. 9710).  Not normally used as food (Ref. 3717).  Reached a life-span of 10 years and a length of 69 cm in the McGinty Aquarium (E. Dashiell, pers. comm 2004), suggesting a preliminary K=0.12."
"40","Platax teira","reef-associated",70,"Large adults live in sheltered bays as well as deep offshore. Commonly found around shipwrecks in small groups and occasionally forms large schools.  Small juveniles with floating debris and form aggregations as they find each other. They can be pelagic to large sizes and form schools under large <i>Sargassum</i> rafts that usually form after the wet season (Ref. 48637).  Juveniles inhabit shallow protected inner reefs while adults occur in lagoon and seaward reefs to a depth of 20 m or more.  Edible but not esteemed (Ref. 12484).  Not an important game fish (Ref. 12484)."
"41","Plectorhinchus flavomaculatus","reef-associated",60,"Inhabits coastal inshore  waters near sheltered reefs, lagoons, sandbanks and seagrass  areas, solitarily or in groups (Ref. 47695,  90102).  Adults usually on silty reefs at moderate depths, or in current channels occasionally inshore; juveniles enter estuaries and harbors (Ref. 48635).  Feeds on small fishes and crustaceans (Ref. 5213).  Taken by handline and spear. A common species marketed fresh, a small quantity is salted, good food fish (Ref. 47695)."
"42","Oxycheilinus bimaculatus","reef-associated",15,"Inhabits outer reef slopes or deep clear lagoons among rubble or clumps of algae; also in seagrass beds (Ref. 1602, 41878, 58302).  Often in sheltered estuaries and harbors (Ref. 48636).  Benthic and benthopelagic (Ref. 58302)."
"43","Naso lituratus","reef-associated",46,"Found in areas of coral, rock, or rubble of lagoon and seaward reefs, Ref. 48637.  Benthopelagic (Ref. 58302).  Adults usually in small groups.  Juveniles in shallow rocky reefs, sometimes in small aggregations mixed with other acanthurids of similar size (Ref. 48637).  Feed mainly on leafy brown algae (<i>Sargassum</i> and <i>Dictyota</i>).  Sometimes in large aggregations (Ref. 37792).  Very seldom poisonous (Ref. 4795).  Pair-spawning has been observed."
"44","Epinephelus merra","reef-associated",32,"A solitary fish, in coastal and offshore reefs usually in less than 20 m depth (Ref. 90102); also very common in shallow lagoon and semi-protected seaward reefs. Juveniles are common in thickets of staghorn <i>Acropora</i> corals.  Feed on crustaceans and fishes.  Increase of piscivory with age is observed in this species.  Neither opercular spine nor anterolateral glandular grooves with venom gland is present (Ref. 57406).  Current information in the table (dangerous fish) do not match; needs verification. Cultured under experimental conditions in the Philippines (Ref. 4757).  In the Hong Kong live fish markets (Ref. 27253). It is important to artisanal fisheries because of its abundance in shallow water and caught with handlines, fish traps, and spear (Ref. 39231)."
"45","Siganus lineatus","reef-associated",43,"Adults inhabit shallow areas, typically 5 m; juveniles common around estuarine areas including mangrove areas and seagrass flats; adults in protected waters such as lagoons and bays in the vicinity of rocky substrata or reefs (resting on rubble or sandy bottoms).  Form schools that diminish with age, down to 10-25 fish by adult stage, although congregations may consist of several thousand fish during spawning period.  Feed by scraping encrusting algae from beach rock or pavement areas of coral reefs or by browsing on larger coarse algae. Caught mainly with set nets and fixed traps; common in markets where it is sold fresh (Ref. 9813)."
"46","Abudefduf sexfasciatus","reef-associated",19,"Adults inhabit inshore and offshore coral or rocky reefs.  Also in shallow coastal reef flats or crests, usually where lots of tall soft corals or hydroid colonies are present (Ref. 48636).  Often found in groups feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  Feed on zooplankton and algae and aggregates high in the water column (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205)."
"47","Parupeneus barberinus","reef-associated",60,"One of the most abundant species of <i>Parupeneus</i> (Ref. 37816).  Inhabits large sand patches as well as sand and rubble areas of reef flats, and lagoon and seaward reefs to a depth of about 100 m.  Forages on sand-dwelling invertebrates like polychaete worms and crustaceans.  Feeding is diurnal; from 19 adult specimens for food-habit study, the prey in order by volume in the stomachs: crabs (portunid, anomuran, xanthid, and raninid), worms (mainly polychaetes but also sipunculids and unidentified), small bivalve molluscs, brachiopods, shrimps, small gastropods, isopods, amphipods, foraminifera, and a small unidentified eel (Ref. 54393).  Individuals from Palau and eastern Carolines often have a yellow band immediately above the broad black band extending behind the eye (Ref. 37816).  Adults solitary or in small groups.  Juveniles usually in small groups, often mixed with other species in sparse seagrass habitats (Ref. 48636)."
"48","Sargocentron tieroides",NA,NA,NA
"49","Parupeneus rubescens","reef-associated",43,"Found on sandy bottoms and murky areas of coastal waters (Ref. 5213)."
"50","Pomacanthus chrysurus","reef-associated",33,"Inhabits coral-rich reefs (Ref. 9710).  Seldom seen in the aquarium trade."
"51","Lethrinus olivaceus","reef-associated",100,"Largest and the longest-snouted lethrinid (Ref. 37816).  Found in sandy coastal areas, lagoons, and reef slopes (Ref. 30573).  Juveniles are found in shallow sandy areas.  Often occurs in large schools.  Adults deep along coastal slopes and drop-offs, usually solitary (Ref. 48635).  Very active and swims fast (Ref. 90102).  Feeds mainly on fish, crustaceans, and cephalopods.  In Palau, it spawns throughout the year on the first few days of the lunar month along the edges of reefs.  Large individuals often ciguatoxic in New Caledonia and possibly elsewhere in Oceania (Ref. 9775). Caught mostly with handline and traps, occasionally by trawls and gill nets (Ref. 68703). Ref. 48635 reports maximum depth of occurrence."
"52","Parupenaeus indicus",NA,NA,NA
"53","Lutjanus gibbus","reef-associated",50,"Adults mainly inhabit coral reefs, sometimes forming large aggregations, which are mostly stationary during the day.  Juveniles occur in seagrass beds, also in mixed sand and coral habitats of shallow sheltered reefs (Ref. 1602).  Sub-adults commonly form very large schools that are stationary or drift slowly along slopes during the day.  Large individuals along coastal slopes at moderate depths (Ref. 48635).  Benthopelagic (Ref. 58302).  Feed on fishes, and a variety of invertebrates including shrimps, crabs, lobsters, stomatopods, cephalopods, echinoderms and ophiuroids (Ref. 55). Caught mainly with handlines, traps, and gill nets. Commonly sold  fresh. Sometimes causes ciguatera poisoning, particularly around the Pacific islands (Ref. 9821)."
"54","Calotomus carolinus","reef-associated",54,"Inhabits subtidal reef flats, and lagoon and seaward reefs to a depths of at least 27 m (Ref. 1602).  Found in coral, rubble, seagrass (Ref. 41878, 58302) and weedy areas (Ref. 9710).  Benthopelagic (Ref. 58302).  Found singly or in small groups (Ref. 9710).  Feeds on a variety of benthic encrusting algae, e.g., <i>Padina</i> (Ref. 37816)  and seagrasses.  A protogynous hermaphrodite which may only have secondary males.  Caught with nets and other types of artisanal gear."
"55","Naso fageni","reef-associated",80,"An uncommon species found in coral and rocky reefs (Ref. 9710). Solitary or in small groups (Ref. 90102)."
"56","Lethrinus borbonicus valenciennes",NA,NA,NA
"57","Scorpaenopsis diabolus","reef-associated",30,"Relatively an uncommon inhabitant of rubble or weedy coralline-rock bottoms of reef flats and lagoon and seaward reefs (Ref. 9710).  Benthic (Ref. 58302).  Feeds on fishes (Ref. 89972). Flashes its inner pectoral fins when disturbed (Ref. 9710).  Can inflict a painful injury with its venomous dorsal sting.  Often partly buried (Ref. 48635). Solitary or in pairs (Ref 90102)."
"58","Balistapus undulatus","reef-associated",30,"Adults which are territorial in nature occur in coral-rich areas of deep lagoon and seaward reefs from the lower surge zone to at least 50 meters (Ref. 48637). They feed on a variety of benthic organisms such as algae, echinoderms, fishes, mollusks, tunicates, sponges, and hydrozoans. Eggs are laid as one cluster in a shallow excavation on sand or rubble along channels. (Ref. 1602). Marketed fresh and dried-salted (Ref. 9770)."
"59","Anampses caeruleopunctatus","reef-associated",42,"Adults are found on the surge zone of coral reefs or rocky coasts (Ref. 9710, 58534).  They occur singly or in pairs (Ref. 9710).  Tiny juveniles swim with head towards the bottom and slowly undulate the body, looking like a floating leaf in the current (Ref. 48636).  Young feed primarily on small crustaceans and polychaetes, adults switch to larger crustaceans and mollusks as well as polychaetes (Ref. 1602).  They bury at night (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Occasionally trawled (Ref. 30573).  Not common in fish markets.  Minimum depth reported taken from Ref. 30874."
"60","Acanthurus leucosternon","reef-associated",54,"Inhabits shallow, clear coastal and island coral reefs (Ref. 9710).  Usually found on reef flats and along upper seaward slopes (Ref. 9710).  May occur singly or in large feeding aggregations.  Monogamous (Ref. 52884).  Feeds on benthic algae; on small, sparsely scattered algae and small growths in crevices (Ref. 28026).  Caught with nets (Ref. 30573).  Marketed fresh."
"61","Scarus sordidus",NA,NA,NA
"62","Papilloculiceps longiceps","reef-associated",70,"Found in the vicinity of coral reefs on sand or rubble bottoms."
"63","Scarus atrilunula",NA,NA,NA
"64","Abudefduf vaigiensis","reef-associated",20,"Adults inhabit upper edge of outer reef slopes and inshore rocky reefs.  Juveniles associated with drifting seaweed (Ref. 12114, 12115).  Benthopelagic (Ref. 58302).  Feed on  zooplankton, benthic algae, and small invertebrates (Ref. 1602).  Often in aggregations (Ref. 9710) feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  In large numbers at spawning sites that are timed with large tides that carry their pelagic offspring far offshore (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205)."
"65","Plectorhinchus gaterinus","reef-associated",50,"Occurs in coastal reefs, sand banks and near estuaries (Ref. 2871).  Often in large groups under ledges or along coral slopes by day (Ref. 9710).  Flesh with an iodoform taste (Ref. 2799)."
"66","Scarus scaber","reef-associated",37,"Inhabits shallow lagoon reefs, in areas with dense coral cover (Ref. 9710).  Individuals in the initial phase form groups (Ref. 9710).  Feeds on algae by incessant grazing in coral reefs (Ref. 5503).  Marked sexual dimorphism."
"67","Lethrinus rubrioperculatus","reef-associated",50,"Found over sand and rubble areas of outer reef slopes (Ref. 30573).  Feeds mainly on crustaceans, fish, echinoderms and mollusks (Ref. 30573).  In New Caledonia, spawning peaks are observed in December and a fairly high percentage of gonads in advanced stages of maturity occurs between October and February  (Ref. 9775). Caught mostly by handline, trap, and trawl. Marketed mostly fresh. An excellent food fish (Ref. 114226)."
"68","Cephalopholis boenak","reef-associated",30,"Mainly a coastal species (Ref. 48635).  Inhabits silty dead reefs in protected waters. May also be seen on live coral (Ref. 089707). Secretive (Ref. 37816).  Feeds mainly on fish (Ref. 30531) and crustaceans (Ref. 089707).  Courtship and pair spawning were observed by Donaldson (1989, Ref. 6900).  Diandric protogynous hermaphrodite (Ref. 45317)."
"69","Cheilio inermis","reef-associated",50,"Inhabit seagrass beds and algal-covered flats, occasionally in lagoon and seaward reefs to a depth of at least 30 m (Ref. 1602, 41878, 48636).  Benthopelagic (Ref. 58302).  Usually solitary.  Juveniles secretive in seagrasses or attached <i>Sargassum</i>; adults usually in small loose aggregations, but occasionally form large schools to spawn (Ref. 48636).  Feed mainly on crustaceans, mollusks, sea urchins (Ref. 37816) and other hard-shelled prey.  Oviparous, distinct pairing during breeding (Ref. 205)."
"70","Abalistes stellatus","reef-associated",60,"Inhabits mud and silt sand bottoms (Ref. 11441, 48637).  Adults on deep coastal slopes and usually seen swimming high above the bottom, sometimes found in estuaries.  Juveniles in sheltered coastal bays and estuaries with outcrops of rubble or debris on open substrates (Ref. 48637)."
"71","Sufflamen chrysopterum","reef-associated",30,"Inhabit coastal to outer reefs.  Habitats from silty lagoons to pristine outer reef walls (Ref. 48637).  Occur in shallow lagoon and seaward reefs.  Solitary and territorial.  Feed on a wide variety of invertebrates.  Also taken by drive-in nets (Ref. 9770).  Oviparous (Ref. 205).  Monogamous (Ref. 52884)."
"72","Diagramma pictum","reef-associated",100,"Typically found solitary or in groups, often in turbid water. on open muddy, sandy or silty substrates in protected bays or estuaries, around rock outcrops, wreckage and debris (Ref. 48635, 90102).  Also in shallow coastal areas and coral reefs (Ref. 30573).  Juveniles are found in weedy areas (Ref. 2799).  Feeds on benthic invertebrates and fishes (Ref. 30573).  Reportedly ciguatoxic in some areas (Ref. 2799).  Marketed fresh and frozen (Ref. 9987).  Five subspecies recognized across Indo-Pacific region including <i>D. p. labiosum</i> and <i>D. p. pictum</i> (Ref. 90102)"
