"","TripID","Date","Country","Site","Latitude","Longitude","Observer","Fisher","TotalCrew","TrapsOwned","TrapsFished","TrapLocation","Depth_m","SoakTime_Days","TrapType","GapSize_cm","BrowserMass_g","BrowserMassRatio","ScraperMass_g","ScraperMassRatio","GrazerMass_g","GrazerMassRatio","TotalCatch_g","CPUE_kgPerTrap","TotalValue_KSH","ValuePUE","TotalCa_mg","CaPUE","TotalFe_mg","FePUE","TotalVA_ug","VAPUE","TotalSe_ug","SePUE","TotalZn_ug","ZnPUE"
"14","GMSLP6849W","2010-11-12","Kenya","Bamburi","-4.01044","39.73984","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",3363.2,1,0,0,0,0,3363.2,1.12106666666667,168.16,56.0533333333333,367.769186538038,122.589728846013,7.81976661203805,2.60658887067935,226.867080176968,75.6223600589893,177.730101536311,59.2433671787704,14.3407934246828,4.78026447489426
"15","QLMPP4904N","2010-11-13","Kenya","Bamburi","-4.01048","39.74023","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",10032,0.555555555555556,0,0,4012.8,0.222222222222222,18057.6,6.0192,222.4,74.1333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","EVRAM0799D","2010-11-16","Kenya","Bamburi","-4.00445","39.74246","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","3","Multiple","Multiple",7555.5,0.375,0,0,0,0,20148,6.716,435.28,145.093333333333,1232.15376933361,410.717923111203,24.9232740084784,8.30775800282614,604.097807005111,201.36593566837,966.132866283231,322.044288761077,51.4462960641363,17.1487653547121
"17","HHYPM7031O","2010-11-17","Kenya","Bamburi","-4.00478","39.74185","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",14566.2,0.666666666666667,0,0,0,0,21849.3,7.2831,485.54,161.846666666667,1205.49130822277,401.830436074258,24.9112144394939,8.30373814649796,596.531951882657,198.843983960886,716.496479441033,238.832159813678,48.6732892720372,16.2244297573457
"18","FXNVF9468S","2010-11-18","Kenya","Bamburi","-4.00418","39.74146","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",4028.4,0.5,0,0,2685.6,0.333333333333333,8056.8,2.6856,173.312,57.7706666666667,654.531257307194,218.177085769065,11.0065500576806,3.66885001922686,380.019041608969,126.673013869656,364.76231710005,121.58743903335,20.8111022544336,6.9370340848112
"19","GEWCF2334J","2010-11-19","Kenya","Bamburi","-4.00478","39.74185","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",2740.2,0.6,0,0,0,0,4567,1.52233333333333,182.68,60.8933333333333,367.365746088035,122.455248696012,8.2731038468213,2.75770128227377,231.59556959929,77.1985231997634,308.616296261346,102.872098753782,17.7604883780276,5.92016279267588
"20","JDUHZ5450L","2010-11-20","Kenya","Bamburi","-4.00418","39.74192","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",2799.6,0.5,0,0,0,0,5599.2,1.8664,187.844,62.6146666666667,574.250586284302,191.416862094767,10.5987222961103,3.53290743203676,233.045587475664,77.6818624918879,345.451813081587,115.150604360529,20.3631525322837,6.78771751076124
"21","GNJKN0273A","2010-11-22","Kenya","Bamburi","-4.00439","39.74192","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Traditional","0",7980.8,0.459686430817791,0,0,3990.4,0.229843215408896,17361.4,5.78713333333333,365.032,121.677333333333,1197.41880913252,399.139603044172,22.693018420409,7.56433947346965,578.891034618498,192.963678206166,709.504876447582,236.501625482527,46.0583755738823,15.3527918579608
"22","WYWAC2550Z","2010-11-23","Kenya","Bamburi","-4.00478","39.74185","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",7799.6,0.4,0,0,1949.9,0.1,19499,6.49966666666667,381.18,127.06,1094.3811362405,364.793712080165,21.2745562105478,7.09151873684926,442.595468326608,147.531822775536,735.036494587072,245.012164862357,45.1717536538283,15.0572512179428
"23","AGTRV4492U","2010-11-24","Kenya","Bamburi","-4.00439","39.74192","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4",0,0,0,0,0,0,1241.6,0.413866666666667,109.76,36.5866666666667,223.76248011894,74.5874933729801,3.58334082448554,1.19444694149518,896.317110618864,298.772370206288,366.583165309349,122.19438843645,8.12330163039905,2.70776721013302
"24","CLQGA0715N","2010-11-25","Kenya","Bamburi","-4.00293","39.74487","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",0,0,0,0,0,0,13493.7,4.4979,201.752,67.2506666666667,974.60014338454,324.866714461513,14.1193514149939,4.70645047166464,395.955787078304,131.985262359435,586.200744316106,195.400248105369,29.4096412895942,9.80321376319807
"25","BFTMQ8104X","2010-11-26","Kenya","Bamburi","-4.0027","39.74464","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",1767.9,1,0,0,0,0,1767.9,0.5893,117.86,39.2866666666667,239.345634454441,79.7818781514803,4.80497466841064,1.60165822280355,149.409646607873,49.8032155359577,117.558655244817,39.1862184149391,8.65915649438399,2.886385498128
"26","EQWPQ8007C","2010-11-27","Kenya","Bamburi","-4.0027","39.74464","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",1978.5,0.6,0,0,0,0,3297.5,1.09916666666667,111.008,37.0026666666667,378.982184615262,126.327394871754,5.94392144767892,1.98130714922631,189.125532597326,63.0418441991085,161.458701376104,53.819567125368,10.339151510064,3.446383836688
"27","GNQXB3426B","2010-11-29","Kenya","Bamburi","-4.0027","39.74464","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple",909.2,0.142857142857143,0,0,1818.4,0.285714285714286,6364.4,2.12146666666667,120.232,40.0773333333333,607.589308504701,202.529769501567,8.50009679320727,2.83336559773576,227.263966072841,75.7546553576137,268.251301662962,89.4171005543208,16.2396925365607,5.41323084552022
"28","TRTGE2664W","2010-12-01","Kenya","Bamburi","-4.0027","39.74464","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple",12213.5,0.454545454545454,0,0,2442.7,0.0909090909090909,26869.7,8.95656666666667,261.148,87.0493333333333,1253.46273728163,417.82091242721,20.3607249520561,6.78690831735203,857.562775422724,285.854258474241,735.66626438357,245.222088127857,38.5339383718688,12.8446461239563
"29","HTEFT2537P","2010-12-02","Kenya","Bamburi","-4.00293","39.74487","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Traditional","0",3922,1,0,0,0,0,3922,1.30733333333333,196.1,65.3666666666667,428.874509277529,142.958169759176,9.1190308790477,3.03967695968257,264.561336957085,88.1871123190283,207.260186199278,69.0867287330927,16.7235346728134,5.57451155760445
"30","SDWDC8358D","2010-12-04","Kenya","Bamburi","-4.0027","39.74464","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple",7475.6,0.333333333333333,0,0,5606.7,0.25,22426.8,7.4756,268.44,89.48,1030.68524492246,343.561748307486,15.38303445433,5.12767815144332,632.277673137239,210.75922437908,470.920831057425,156.973610352475,30.2489854966716,10.0829951655572
"31","MSWIM5305T","2010-12-05","Kenya","Bamburi","-4.0027","39.74464","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",8099.4,0.857142857142857,0,0,0,0,9449.3,3.14976666666667,263.58,87.86,575.850980468662,191.950326822887,11.5633882127928,3.85446273759761,694.813549202176,231.604516400725,352.461434863078,117.487144954359,21.1676798040587,7.05589326801957
"32","NXKLM4944O","2010-12-06","Kenya","Bamburi","-4.00736","39.73891","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",6282.5,1,0,0,0,0,6282.5,2.09416666666667,251.3,83.7666666666667,549.59798154739,183.199327182463,11.6859380923238,3.89531269744125,339.03245271451,113.010817571503,265.601656256393,88.5338854187975,21.4310263298215,7.14367544327384
"33","PVXZP6035F","2010-12-07","Kenya","Bamburi","-4.00716","39.73902","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",4769.2,0.8,0,0,0,0,5961.5,1.98716666666667,228.128,76.0426666666667,489.856419039817,163.285473013272,9.88002506152814,3.29334168717605,433.275361191386,144.425120397129,271.584183109766,90.5280610365886,18.9296327866133,6.30987759553777
"34","TLJJD1835R","2010-12-08","Kenya","Bamburi","-4.00716","39.73902","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4",801.2,0.5,0,0,0,0,1602.4,0.534133333333333,148.192,49.3973333333333,322.962506371569,107.654168790523,5.58552563094575,1.86184187698192,838.498264794704,279.499421598235,295.706532017784,98.5688440059281,10.1707184306705,3.39023947689018
"35","XGERN2097H","2010-12-09","Kenya","Bamburi","-4.00734","39.73921","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",2674.2,1,0,0,0,0,2674.2,0.8914,178.28,59.4266666666667,389.901823120846,129.967274373615,8.29036626780533,2.76345542260178,240.520118065829,80.1733726886097,188.426037713449,62.8086792378163,15.2038335618009,5.06794452060032
"36","ZCPJZ3200R","2010-12-10","Kenya","Bamburi","-4.00716","39.74012","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",388.2,0.5,0,0,0,0,776.4,0.2588,67.592,22.5306666666667,146.877365583397,48.9591218611322,2.05421712483715,0.684739041612385,623.755276792139,207.91842559738,187.43174440502,62.4772481350067,3.70665863444446,1.23555287814815
"37","AXYGM6731N","2010-12-11","Kenya","Bamburi","-4.00734","39.73921","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",4467,0.428571428571429,0,0,0,0,10423,3.47433333333333,246.68,82.2266666666667,755.35023348868,251.783411162893,10.9947912133516,3.66493040445054,1252.36506396007,417.455021320023,510.796612801868,170.265537600623,19.4129381211352,6.47097937371175
"38","QDLXX3209Q","2010-12-13","Kenya","Bamburi","-4.00734","39.74012","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple",2889.9,0.6,0,0,963.3,0.2,4816.5,1.6055,168.324,56.108,552.841488621064,184.280496207021,8.53981705574353,2.84660568524784,298.834453504683,99.6114845015609,222.103353427015,74.0344511423384,16.8705488371841,5.62351627906136
"39","GSFTT2980L","2011-01-06","Kenya","Bamburi","-4.004","39.74114","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","14","Multiple","Multiple",13590,0.75,0,0,0,0,18120,6.04,340,113.333333333333,1099.38209963988,366.46069987996,20.8312314090952,6.94374380303173,696.046387458285,232.015462486095,633.317449527993,211.105816509331,39.2910410137743,13.0970136712581
"40","EAUIS8844Z","2011-01-07","Kenya","Bamburi","-4.0042","39.7411","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",6382,0.666666666666667,0,0,1595.5,0.166666666666667,9573,3.191,307.5,102.5,839.550161496912,279.850053832304,15.9511702786791,5.31705675955969,403.093715808886,134.364571936295,423.923458274694,141.307819424898,30.8815108887433,10.2938369629144
"41","IIJZR0592I","2011-01-08","Kenya","Bamburi","-4.0044","39.74142","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",1195,0.25,0,0,0,0,4780,1.59333333333333,106.8,35.6,680.695539063084,226.898513021028,10.7071584731003,3.56905282436676,421.067331527097,140.355777175699,424.713051701327,141.571017233776,20.4335218793186,6.81117395977286
"42","ZHPBK8404A","2011-01-09","Kenya","Bamburi","-4.0044","39.74142","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",4914,0.666666666666667,0,0,1228.5,0.166666666666667,7371,2.457,222.64,74.2133333333333,663.31393401326,221.104644671087,11.4268759068945,3.80895863563151,335.520897885158,111.840299295053,267.829109026823,89.2763696756078,21.6851980153175,7.22839933843917
"43","JQNPI8529A","2011-01-10","Kenya","Bamburi","-4.0032","39.74245","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Traditional","0",640,0.5,0,0,0,0,1280,0.426666666666667,128,42.6666666666667,253.342795741204,84.4475985804012,4.56575148024058,1.52191716008019,651.878940202961,217.292980067654,205.023476126536,68.3411587088453,7.4632411789805,2.48774705966017
"44","NUTCA2838H","2011-01-11","Kenya","Bamburi","-4.00817","39.73952","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4",1660,0.666666666666667,0,0,0,0,2490,0.83,150.8,50.2666666666667,328.368980219623,109.456326739874,5.36520778406395,1.78840259468798,1009.07963613564,336.35987871188,334.84930590097,111.616435300323,9.74766337269357,3.24922112423119
"45","ZGCTA4872X","2011-01-12","Kenya","Bamburi","-4.00801","39.73919","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",1240,0.4,0,0,620,0.2,3100,1.03333333333333,93.6,31.2,382.149830269329,127.383276756443,5.52118099439485,1.84039366479828,172.667987617357,57.5559958724522,166.617336742535,55.5391122475116,10.3810478401578,3.4603492800526
"46","TLGNO9114I","2011-01-13","Kenya","Bamburi","-4.00817","39.73952","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4",0,0,0,0,0,0,140,0.0466666666666667,28,9.33333333333333,96.5915140487899,32.1971713495966,1.83021944917781,0.610073149725937,24.2345458768501,8.07818195895004,74.0680908801992,24.6893636267331,3.77287294205996,1.25762431401999
"47","YDNKY4077Q","2011-01-18","Kenya","Bamburi","-4.00817","39.74009","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","5","Multiple","Multiple",480,0.5,0,0,0,0,960,0.32,52,17.3333333333333,216.577909453003,72.1926364843342,3.69601841793496,1.23200613931165,159.421682061987,53.1405606873292,135.441658901397,45.147219633799,6.68151019820018,2.22717006606673
"48","QPHEZ8421P","2011-01-19","Kenya","Bamburi","-4.00797","39.74049","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple",2720,0.285714285714286,0,0,2720,0.285714285714286,9520,3.17333333333333,220,73.3333333333333,661.704206392841,220.568068797614,10.0546766250033,3.35155887500111,771.9879323511,257.3293107837,387.317145838102,129.105715279367,20.718696305105,6.90623210170168
"49","TCOSK6709O","2011-01-20","Kenya","Bamburi","-4.00797","39.74049","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Traditional","0",0,0,0,0,0,0,500,0.166666666666667,37.2,12.4,130.169286301485,43.389762100495,1.28142693108754,0.427142310362513,118.087988556897,39.3626628522989,73.5912422461995,24.5304140820665,2.32257704856118,0.774192349520392
"50","VEUAX9447M","2011-01-21","Kenya","Bamburi","-4.00819","39.74009","Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","Multiple","Multiple","Multiple",1990,0.4,0,0,0,0,4975,1.65833333333333,70.6,23.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ENHYF4440W","2011-01-24","Kenya","Bamburi","-4.05383","39.71574","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","3","Gated","4",1680,0.6,0,0,0,0,2800,0.933333333333333,79.2,26.4,237.808613630908,79.2695378769695,3.76486750793761,1.2549558359792,214.997325544269,71.6657751814229,180.096514864268,60.0321716214228,7.33671646315273,2.44557215438424
"52","OVPNZ9888G","2011-01-25","Kenya","Bamburi","-4.05383","39.71619","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Multiple","Multiple",5504,0.8,0,0,0,0,6880,2.29333333333333,195.2,65.0666666666667,647.594208420594,215.864736140198,12.0857929186629,4.0285976395543,444.82624215641,148.275414052137,351.377910154735,117.125970051578,22.0160276323679,7.33867587745598
"53","UNKLD0966G","2011-01-26","Kenya","Bamburi","-4.05466","39.71718","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Multiple","Multiple",37505,0.928571428571429,0,0,0,0,40390,13.4633333333333,502.6,167.533333333333,1088.98047973282,362.993493244274,22.7331212236978,7.57770707456593,967.410042572212,322.470014190737,845.733160925312,281.911053641771,45.5259931305469,15.1753310435156
"54","GORCO3723Q","2011-01-27","Kenya","Bamburi","-4.05517","39.71561","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Multiple","Multiple",13200,0.5,0,0,0,0,26400,8.8,278.4,92.8,1008.27549925952,336.091833086505,17.5045182987889,5.83483943292963,1339.827332889,446.609110962999,603.075491039506,201.025163679835,35.9741866057914,11.9913955352638
"55","LHTWP0557R","2011-01-29","Kenya","Bamburi","-4.05383","39.71718","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","2","Multiple","Multiple",11100,0.5,0,0,4440,0.2,22200,7.4,NA,NA,938.122218411676,312.707406137225,18.6078797991566,6.20262659971887,559.239460944014,186.413153648005,510.694083944867,170.231361314956,30.0206964646901,10.0068988215634
"56","LZUCL4097F","2011-01-31","Kenya","Bamburi","-4.05383","39.71574","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","2","Gated","4",3840,1,0,0,0,0,3840,1.28,192,64,419.907729634297,139.969243211432,8.92837291574278,2.97612430524759,259.029967851914,86.3433226173046,202.926852372572,67.6422841241907,16.3738840243762,5.45796134145872
"57","ULZPG2522I","2011-02-02","Kenya","Bamburi","-4.05822","39.71494","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Gated","4",220,1,0,0,0,0,220,0.0733333333333333,44,14.6666666666667,96.2288547078597,32.0762849026199,2.04608545985772,0.68202848661924,59.3610342993969,19.7870114331323,46.5040703353811,15.5013567784604,3.75234842225287,1.25078280741762
"58","QRNNZ4564N","2011-02-03","Kenya","Bamburi","-4.05807","39.71599","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Multiple","Multiple",1840,0.5,0,0,0,0,3680,1.22666666666667,52,17.3333333333333,477.860237541736,159.286745847245,7.38231374764895,2.46077124921632,369.594478113052,123.198159371017,294.323112751228,98.1077042504093,13.2938487324513,4.4312829108171
"59","FDWHF1726K","2011-02-04","Kenya","Bamburi","-4.05822","39.71494","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Gated","4",840,1,0,0,0,0,840,0.28,84,28,183.709631715005,61.2365439050016,3.90616315063747,1.30205438354582,113.325610935212,37.7752036450708,88.7804979130003,29.5934993043334,7.16357426066457,2.38785808688819
"60","CVKGW7794L","2011-02-05","Kenya","Bamburi","-4.05762","39.71664","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","1","Multiple","Multiple",1680,1,0,0,0,0,1680,0.56,112,37.3333333333333,244.946175620007,81.6487252066689,5.20821753418329,1.73607251139443,151.100814580283,50.3669381934277,118.373997217334,39.4579990724446,9.55143234755276,3.18381078251759
"61","EMGCO1001W","2011-02-07","Kenya","Bamburi","-4.05807","39.71599","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","2","Traditional","0",0,0,0,0,0,0,90,0.03,7.2,2.4,86.1572113366045,28.7190704455348,0.73897851978221,0.246326173260737,30.062122109122,10.0207073697074,30.4241415742102,10.1413805247367,1.06496022987647,0.354986743292157
"62","ARDCX4860Z","2011-02-08","Kenya","Bamburi","-4.05823","39.71562","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","Multiple","Gated","4",1400,0.2,0,0,0,0,7000,2.33333333333333,217.6,72.5333333333333,540.102941701728,180.034313900576,6.37647392020637,2.12549130673546,3010.69560393926,1003.56520131309,759.084262159518,253.028087386506,16.0100319690496,5.33667732301654
"63","MBVDQ1397G","2011-02-13","Kenya","Bamburi","-4.05762","39.71664","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","Multiple","Multiple","Multiple",2230,0.222222222222222,0,0,0,0,10035,3.345,158.8,52.9333333333333,669.828016169685,223.276005389895,9.5447144454847,3.18157148182823,347.845562440715,115.948520813572,293.543788955087,97.8479296516956,16.7753034969844,5.59176783232812
"64","AQVSL1565B","2011-02-14","Kenya","Bamburi","-4.05807","39.71599","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","Multiple","Multiple","Multiple",0,0,0,0,0,0,1460,0.486666666666667,52,17.3333333333333,268.536902366466,89.5123007888219,3.84486207474059,1.2816206915802,95.3051630762068,31.7683876920689,156.573922338546,52.191307446182,7.36404673221026,2.45468224407009
"65","QOJAH7347D","2011-02-15","Kenya","Bamburi","-4.05822","39.71562","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","6","Gated","4",1080,1,0,0,0,0,1080,0.36,108,36,236.198097919292,78.7326993064307,5.02220976510531,1.67406992170177,145.704356916702,48.5681189722339,114.146354459572,38.0487848198573,9.21030976371159,3.07010325457053
"66","CHPEI9842C","2011-02-17","Kenya","Bamburi","-4.05807","39.71599","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","7","Multiple","Multiple",7800,0.625,0,0,1560,0.125,12480,4.16,265.2,88.4,820.130132280127,273.376710760042,14.0862121805307,4.6954040601769,429.992000605318,143.330666868439,379.573992987941,126.524664329314,26.9812608608224,8.99375362027414
"67","GSKIK9745G","2011-02-21","Kenya","Bamburi","-4.06363","39.71372","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","4","Multiple","Multiple",0,0,0,0,0,0,840,0.28,22.4,7.46666666666667,152.593206949562,50.8644023165205,1.99603822080347,0.665346073601155,75.2036858374674,25.0678952791558,76.490960821214,25.4969869404046,2.63156208576936,0.877187361923121
"68","IBIUR6416O","2011-02-22","Kenya","Bamburi","-4.06094","39.71372","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","5","Traditional","0",1600,1,0,0,0,0,1600,0.533333333333333,160,53.3333333333333,349.923108028581,116.641036009527,7.44031076311898,2.48010358770633,215.858306543262,71.9527688477539,169.105710310477,56.3685701034923,13.6449033536468,4.54830111788227
"69","CYVSL4100D","2011-02-23","Kenya","Bamburi","-4.06352","39.71378","Mbaru","VTSZT8517P",1,6,3,"Reef","<20","6","Gated","4",0,0,0,0,0,0,200,0.0666666666666667,40,13.3333333333333,137.987877212557,45.9959590708523,2.61459921311116,0.871533071037053,34.6207798240716,11.5402599413572,105.811558400285,35.2705194667615,5.38981848865708,1.79660616288569
