"","x"
"156","Parupeneus barberinus"
"157","Parupeneus cyclostomus"
"158","Parupeneus heptacanthus"
"159","Parupeneus macronema"
"160","Parupeneus rubescens"
"161","Parupeneus spp"
"162","Pempheris adusta"
"163","Platax orbicularis"
"164","Platax teira"
"165","Plectohinchus cryterinus"
"166","Plectohinchus gaterinus"
"167","Plectohinchus gibbosus"
"168","Plectorhinchus chubbi"
"169","Plectorhinchus flavomaculatus"
"170","Plectorhinchus gibbosus"
"171","Plectorhinchus lineatus"
"172","Plectorhinchus picus"
"173","Plectorhinchus schotaf"
"174","Plectorhinchus sordidus"
"175","Plotosus lineatus"
"176","Pomacanthus chrysurus"
"177","Pomacanthus imperator"
"178","Pomacanthus semicirculatus"
"179","Priacanthus hamrur"
"180","Pseudalutarius nasicornis"
"181","Pterois miles"
"182","Rastrelliger kanagurta"
"183","Rhinecanthus aculeatus"
"184","Rhinecanthus rectangulus"
"185","Rhinopteria javanica"
"186","Sargocentron tieroides"
"187","Scarus atrilunula"
"188","Scarus falcinnis"
"189","Scarus festivus"
"190","Scarus frenatus"
"191","Scarus ghobban"
"192","Scarus globiceps"
"193","Scarus guacamaia"
"194","Scarus harid"
"195","Scarus niger"
"196","Scarus psitticus"
"197","Scarus rubroviolaceus"
"198","Scarus russelli"
"199","Scarus scaber"
"200","Scarus sordidus"
"201","Scarus spp"
"202","Scarus tricolor"
"203","Scolopsis bimaculata"
"204","Scolopsis ghanam"
"205","Scorpaenopsis diabolus"
"206","Siganus argenteus"
"207","Siganus bimeculetus"
"208","Siganus canaliculatus"
"209","Siganus lineatus"
"210","Siganus stellatus"
"211","Siganus sutor"
"212","Sufflamen chrysopterum"
"213","Synanceia verrucosa"
"214","Taeniura lymma"
"215","Tetrosomus gibbosus"
"216","Thalassoma hebraicum"
"217","Thalassoma purpureum"
"218","Umbrina canariensis"
"219","Upeneus sulphureus"
"220","Upeneus tragula"
"221","Variola louti"
"222","Wetmorella spp"
"223","Zanclus cornutus"
"224","Zebrasoma desjardinii"
"225","Zebrasoma velifer"
