"TripID","Date","Country","Site","Latitude","Longitude","Observer","Fisher","TotalCrew","TrapsOwned","TrapsFished","TrapLocation","Depth_m","SoakTime_Days","TrapType","GapSize_cm","B.undulatus","BrowserMass_g","BrowserMassRatio","ScraperMass_g","ScraperMassRatio","GrazerMass_g","GrazerMassRatio","PredatorMass_g","PredatorMassRatio","TotalCatch_g","LowNoCatch","CPUE_kgPerTrap","CPUE_DistFromMean","TotalValue_KSH","ValuePUE","MeanLLmat","MeanLLopt","MeanTrophLevel","MeanVulnerability","MTC_degC","FECount","FRic","FEve","FDiv","TotalCa_mg","CaPUE","CaConc_mgPer100g","CaPrice_KSHPermg","TotalFe_mg","FePUE","FeConc_mgPer100g","FePrice_KSHPermg","TotalOmega3_g","Omega3PUE","Omega3Conc_gPer100g","Omega3Price_KSHPerg","TotalProtein_g","ProteinPUE","ProteinConc_gPer100g","ProteinPrice_KSHPerg","TotalVA_ug","VAPUE","VAConc_ugPer100g","VAPrice_KSHPerug","TotalSe_ug","SePUE","SeConc_ugPer100g","SePrice_KSHPerug","TotalZn_ug","ZnPUE","ZnConc_ugPer100g","ZnPrice_KSHPerug"
"LCZUU0466H",2010-11-10,"Kenya","Bamburi",-4.01048,39.73972,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",19284.3,0.8182,0,0,0,0,0,0,23569.7,"Catch",7.8566,0.4459,429,143,0.869884313603538,0.815774689867355,2.26000001213767,33.0790909090909,27.5,NA,NA,NA,NA,893.794395065158,297.931465021719,3.79213309912794,0.479461498490108,19.2127730788573,6.40425769295244,0.0815147120194883,22.3049529727484,5.49042012951471,1.83014004317157,0.0232943997145263,78.0523147393235,394.890712284658,131.630237428219,1.67541679480289,1.08521164633289,581.627878381982,193.875959460661,2.4676931754837,0.736794118590302,519.619498574387,173.206499524796,2.20460802884376,0.82471885904153,37.4583371759985,12.4861123919995,0.158925812275924,11.4404437652024
"GPDRA8102J",2010-11-11,"Kenya","Bamburi",-4.01019,39.73981,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4","No",2220,0.75,0,0,0,0,0,0,2960,"Catch",0.9867,0.6054,133,44,0.895062161029502,0.866483649654062,2.3425,25.345,27.5514864864865,48,0.344360355974606,0.444368,0.859479784421231,325.973203113947,108.657734371316,11.012608213309,0.407272741230796,6.61622198023435,2.20540732674478,0.223521012845755,20.0658321919389,1.9178826591377,0.639294219712566,0.0647933330789763,69.2221702758866,135.133904570862,45.0446348569539,4.56533461388047,0.982432946206945,210.027526270542,70.009175423514,7.09552453616696,0.632107621117188,168.191606277607,56.0638687592022,5.68214886072996,0.789337844724989,12.1001087647329,4.03336958824431,0.408787458268005,10.9718022028813
"IMEVZ1296Y",2010-11-12,"Kenya","Bamburi",-4.01044,39.73984,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",3363.2,1,0,0,0,0,0,0,3363.2,"Catch",1.1211,0.7937,168,56,0.930330349072562,0.892697953994616,2,26.01,27.5,NA,NA,NA,NA,367.769186538038,122.589728846013,10.9350971258932,0.457243309541397,7.81976661203805,2.60658887067935,0.232509711347468,21.5044781184554,2.31516597167361,0.771721990557869,0.0688381889769745,72.6341014240284,153.014500308189,51.004833436063,4.5496699663472,1.09898081333015,226.867080176968,75.6223600589893,6.74557207947692,0.741226976910121,177.730101536311,59.2433671787704,5.2845534472024,0.946153738429301,14.3407934246828,4.78026447489426,0.426403229801463,11.7259899797852
"FWYDH9220L",2010-11-13,"Kenya","Bamburi",-4.01048,39.74023,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",10032,0.5556,0,0,4012.8,0.2222,2006.4,0.111111111111111,18057.6,"Catch",6.0192,0.1077,222,74,1.16349986060089,1.12616640868556,2.35875,25.0577777777778,27.2884768740032,NA,NA,NA,NA,842.164691397464,280.721563799155,4.66376867024114,0.264081363504988,15.3713794617901,5.12379315393004,0.085124155268641,14.4684477117254,3.77092587942991,1.2569752931433,0.020882763376251,58.9775580615821,313.619111661179,104.53970388706,1.73677073177598,0.709140456466415,436.982220312814,145.660740104271,2.41993520906883,0.508945191959515,342.134887080139,114.044962360046,1.8946863762634,0.65003601912104,26.2447740393737,8.74825801312456,0.145339214731602,8.47406800555207
"TSDKT3277T",2010-11-16,"Kenya","Bamburi",-4.00445,39.74246,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","3","Multiple","Multiple","No",7555.5,0.375,0,0,0,0,7555.5,0.375,20148,"Catch",6.716,0.236,435,145,1.05959017938006,0.95675832696811,2.98374999880791,29.12875,27.9183482231487,NA,NA,NA,NA,1232.15376933361,410.717923111203,6.11551404275169,0.353267596004202,24.9232740084784,8.30775800282614,0.123700982769895,17.4648001643735,6.2143612576034,2.07145375253447,0.0308435639150457,70.0442059861625,473.84780660596,157.949268868653,2.35183545069466,0.918607185538728,604.097807005111,201.36593566837,2.99830160316215,0.720545572178045,966.132866283231,322.044288761077,4.79517999942044,0.450538445788049,51.4462960641363,17.1487653547121,0.255341949891484,8.46086177821921
"DAADR8561J",2010-11-17,"Kenya","Bamburi",-4.00478,39.74185,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",14566.2,0.6667,0,0,0,0,4855.4,0.222222222222222,21849.3,"Catch",7.2831,0.3403,486,162,0.948906118712073,0.882177435809856,2.5255555428399,26.1877777777778,27.7218972690201,NA,NA,NA,NA,1205.49130822277,401.830436074258,5.51729944768378,0.402773538629507,24.9112144394939,8.30373814649796,0.114013787350139,19.4908201356186,6.63875138732603,2.21291712910868,0.0303842749530924,73.1372470020401,449.276332924819,149.758777641606,2.05625046534589,1.08071572975835,596.531951882657,198.843983960886,2.73021081628545,0.813937960016449,716.496479441033,238.832159813678,3.27926514552426,0.677658598376909,48.6732892720372,16.2244297573457,0.222768186038167,9.97549184083892
"PWLCQ0879F",2010-11-18,"Kenya","Bamburi",-4.00418,39.74146,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",4028.4,0.5,0,0,2685.6,0.3333,1342.8,0.166666666666667,8056.8,"Catch",2.6856,0.5058,173,58,0.994962844536914,0.961959697227353,2.51,23.3533333333333,27.6945412570748,NA,NA,NA,NA,654.531257307194,218.177085769065,8.12396059610756,0.264787965532804,11.0065500576806,3.66885001922686,0.13661193101083,15.746260098918,2.7869286895339,0.928976229844632,0.0345910124309142,62.1874541142227,248.925473006494,82.9751576688315,3.08963202520225,0.696240516917601,380.019041608969,126.673013869656,4.71674910149152,0.456061357520959,364.76231710005,121.58743903335,4.52738453356233,0.47513679970528,20.8111022544336,6.9370340848112,0.258304814001013,8.32786259377865
"FXWGX3841H",2010-11-19,"Kenya","Bamburi",-4.00478,39.74185,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",2740.2,0.6,0,0,0,0,0,0,4567,"Catch",1.5223,0.7198,183,61,0.790664649529083,0.715593199726046,2.61400003433228,37.744,27.6537661484563,NA,NA,NA,NA,367.365746088035,122.455248696012,8.04391824147219,0.497270096478246,8.2731038468213,2.75770128227377,0.18114963535847,22.0811926675125,2.28361896086018,0.761206320286726,0.0500026047922088,79.9958325495727,171.060556863251,57.0201856210835,3.74557821027481,1.06792590501174,231.59556959929,77.1985231997634,5.07106567986184,0.788788837006146,308.616296261346,102.872098753782,6.75752783580789,0.591932448846773,17.7604883780276,5.92016279267588,0.388887417955499,10.2857531905487
"TZVRT7264N",2010-11-20,"Kenya","Bamburi",-4.00418,39.74192,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",2799.6,0.5,0,0,0,0,0,0,5599.2,"Catch",1.8664,0.6565,188,63,1.17917719695336,1.0777953886924,2.75,22.12,27.7424042941057,NA,NA,NA,NA,574.250586284302,191.416862094767,10.2559398893467,0.327111551100797,10.5987222961103,3.53290743203676,0.189289939564764,17.7232684046207,2.61430165259648,0.871433884198826,0.0466906281718188,71.852458117615,185.602964867024,61.8676549556745,3.31481220294013,1.01207434986064,233.045587475664,77.6818624918879,4.16212293677068,0.806039719673371,345.451813081587,115.150604360529,6.16966375699362,0.543763248264198,20.3631525322837,6.78771751076124,0.3636796780305,9.2247013178432
"QQERN0973E",2010-11-22,"Kenya","Bamburi",-4.00439,39.74192,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Traditional","0","No",7980.8,0.4597,1995.2,0.1149,3990.4,0.2298,1995.2,0.114921607704448,17361.4,"Catch",5.7871,1.0978,365,122,1.03778096256155,0.918155295811853,2.46111109839545,23.4266666666667,27.831820069779,41,0.269736939820039,0.473803,0.826188977386661,1197.41880913252,399.139603044172,6.89701757423086,0.304849061344252,22.693018420409,7.56433947346965,0.130709611093627,16.0856521260173,5.04550151821922,1.68183383940641,0.0290616051598328,72.3480111306826,449.913361474306,149.971120491435,2.59145784023354,0.811338429256332,578.891034618498,192.963678206166,3.33435687570414,0.630571175179046,709.504876447582,236.501625482527,4.08668008598144,0.514488359583486,46.0583755738823,15.3527918579608,0.26529182884953,7.92542063092198
"NMGAC6527S",2010-11-23,"Kenya","Bamburi",-4.00478,39.74185,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",7799.6,0.4,0,0,1949.9,0.1,5849.7,0.3,19499,"Catch",6.4997,0.1961,381,127,0.872068094157067,0.793497745824737,2.83699999523163,29.217,27.9370993384276,NA,NA,NA,NA,1094.3811362405,364.793712080165,5.61249877552949,0.348306442223099,21.2745562105478,7.09151873684926,0.109105883432729,17.9171775066694,4.96403092184753,1.65467697394918,0.0254578743620059,76.7884016036974,368.570262480907,122.856754160302,1.89020084353509,1.03421257437921,442.595468326608,147.531822775536,2.26983675227759,0.86123791877307,735.036494587072,245.012164862357,3.76961123435598,0.518586495782279,45.1717536538283,15.0572512179428,0.231661898834957,8.43845919556623
"CXSLA1664X",2010-11-24,"Kenya","Bamburi",-4.00439,39.74192,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4","No",0,0,0,0,0,0,620.8,0.5,1241.6,"Catch",0.4139,0.8345,110,37,1.37386288695999,1.16892112698706,3.57000005245209,39.605,28,48,0.344360355974606,0.444368,0.859479784421231,223.76248011894,74.5874933729801,18.0221069683425,0.490520126259136,3.58334082448554,1.19444694149518,0.288606703003023,30.6306336394217,1.08451856166396,0.361506187221321,0.0873484666288629,101.206197735885,116.135619367154,38.7118731223846,9.35370645676173,0.945101947172662,896.317110618864,298.772370206288,72.1904889351533,0.122456660371256,366.583165309349,122.19438843645,29.5250616389617,0.299413640305541,8.12330163039905,2.70776721013302,0.654260762757655,13.5117474389053
"LCTCD6296M",2010-11-25,"Kenya","Bamburi",-4.00293,39.74487,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",0,0,1499.3,0.1111,0,0,1499.3,0.111111111111111,13493.7,"Catch",4.4979,0.1722,202,67,1.49165016509381,1.3140734159342,3.17222228474087,20.8955555555556,27.9806042819983,NA,NA,NA,NA,974.60014338454,324.866714461513,7.22263088244544,0.207010024951737,14.1193514149939,4.70645047166464,0.104636618681266,14.2890416188488,2.90445969018311,0.968153230061038,0.0215245610187207,69.4628335459117,285.734801746115,95.2449339153717,2.11754227340252,0.706081299047581,395.955787078304,131.985262359435,2.93437520530547,0.509531636066482,586.200744316106,195.400248105369,4.34425505470039,0.344168788518641,29.4096412895942,9.80321376319807,0.217950905160143,6.86006327018291
"RJYYI9680P",2010-11-26,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",1767.9,1,0,0,0,0,0,0,1767.9,"Catch",0.5893,0.8916,118,39,0.927008037656284,0.893968063989804,2.23333333333333,25.44,27.7338706940438,NA,NA,NA,NA,239.345634454441,79.7818781514803,13.538414755045,0.492425944048018,4.80497466841064,1.60165822280355,0.271789958052528,24.5287453386273,1.29999282485008,0.433330941616694,0.0735331650461045,90.6620388567082,109.640154197877,36.5467180659589,6.20171696350906,1.0749711258823,149.409646607873,49.8032155359577,8.45124987883213,0.788837954414848,117.558655244817,39.1862184149391,6.64962131595776,1.00256335660318,8.65915649438399,2.886385498128,0.489798998494485,13.6110255169126
"LNNVS0633D",2010-11-27,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",1978.5,0.6,0,0,0,0,0,0,3297.5,"Catch",1.0992,0.7977,111,37,1.01128927243365,0.944893796521316,2.45200004577637,20.218,27.6319939347991,NA,NA,NA,NA,378.982184615262,126.327394871754,11.4930154545948,0.292910866279094,5.94392144767892,1.98130714922631,0.180255388860619,18.675886109388,1.5911341231814,0.530378041060465,0.0482527406575101,69.7665887386318,122.199275270152,40.7330917567172,3.70581577771499,0.908417826166231,189.125532597326,63.0418441991085,5.73542176185976,0.586954064189479,161.458701376104,53.819567125368,4.89639731239132,0.68753185213237,10.339151510064,3.446383836688,0.313545155725975,10.7366644053863
"LMNIC0824B",2010-11-29,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",909.2,0.1429,0,0,1818.4,0.2857,0,0,6364.4,"Catch",2.1215,0.6096,120,40,1.14588317663655,1.08486475985043,2.95857144492013,24.8871428571429,27.7038935327761,NA,NA,NA,NA,607.589308504701,202.529769501567,9.54668638842155,0.197883666346755,8.50009679320727,2.83336559773576,0.13355692277681,14.1447801036903,1.66109383653719,0.553697945512396,0.0260997711730436,72.3812209493489,173.624506935732,57.874835645244,2.72805774206103,0.692482888055109,227.263966072841,75.7546553576137,3.57086239194333,0.52904119415686,268.251301662962,89.4171005543208,4.21487181294328,0.448206585595855,16.2396925365607,5.41323084552022,0.255164548685825,7.40358844413587
"HUHGK2227L",2010-12-01,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",12213.5,0.4545,0,0,2442.7,0.0909,0,0,26869.7,"Catch",8.9566,0.6483,261,87,1.19983964683172,1.10370658124755,2.62181816447865,30,27.7232857084374,NA,NA,NA,NA,1253.46273728163,417.82091242721,4.66496736949661,0.208341255174724,20.3607249520561,6.78690831735203,0.0757757807197552,12.8260658996638,4.90836581832889,1.63612193944296,0.0182672892452424,53.2046733405276,447.621201025112,149.207067008371,1.66589578977477,0.583412937997433,857.562775422724,285.854258474241,3.19156066283853,0.304523479195177,735.66626438357,245.222088127857,2.73790278411583,0.354981616859679,38.5339383718688,12.8446461239563,0.143410378128036,6.77709082004054
"UPNOS5894M",2010-12-02,"Kenya","Bamburi",-4.00293,39.74487,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Traditional","0","No",3922,1,0,0,0,0,0,0,3922,"Catch",1.3073,0.5261,196,65,0.973059509155227,0.933698695096665,2,26.01,27.5,41,0.269736939820039,0.473803,0.826188977386661,428.874509277529,142.958169759176,10.9350971258932,0.457243309541397,9.1190308790477,3.03967695968257,0.232509711347468,21.5044781184553,2.69983377167694,0.89994459055898,0.0688381889769745,72.6341014240284,178.438056080137,59.4793520267124,4.5496699663472,1.09898081333015,264.561336957085,88.1871123190283,6.74557207947692,0.741226976910121,207.260186199278,69.0867287330927,5.2845534472024,0.946153738429301,16.7235346728134,5.57451155760445,0.426403229801462,11.7259899797852
"QIKEK7846W",2010-12-04,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",7475.6,0.3333,0,0,5606.7,0.25,0,0,22426.8,"Catch",7.4756,0.3757,268,89,1.09030677925695,1.03981304012856,2.58833334445953,27.7725,27.6386323505806,NA,NA,NA,NA,1030.68524492246,343.561748307486,4.59577489843605,0.260448086670918,15.38303445433,5.12767815144332,0.0685921952946027,17.4503932105827,3.8992354714984,1.29974515716613,0.0173864995072788,68.8442649750629,344.600931655048,114.866977218349,1.53655863366618,0.778988027428532,632.277673137239,210.75922437908,2.81929509844132,0.424560302229324,470.920831057425,156.973610352475,2.09981286254582,0.570032120679889,30.2489854966716,10.0829951655572,0.134878741044962,8.87434720842251
"AVQYY6599H",2010-12-05,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",8099.4,0.8571,0,0,0,0,1349.9,0.142857142857143,9449.3,"Catch",3.1498,0.4203,264,88,0.979276003679365,0.919687312580416,2.21428571428571,27.0671428571429,27.5592636491592,NA,NA,NA,NA,575.850980468662,191.950326822887,6.09411258472756,0.457722586120255,11.5633882127928,3.85446273759761,0.122372961095455,22.7943570819836,3.47219396037074,1.15739798679025,0.0367455151214454,75.9116578763522,245.828968001046,81.9429893336821,2.60155744871098,1.07220887002576,694.813549202176,231.604516400725,7.35306900195968,0.379353569461415,352.461434863078,117.487144954359,3.73002693176297,0.747826496542505,21.1676798040587,7.05589326801957,0.224013205253921,12.4520024131063
"QITWO5912Z",2010-12-06,"Kenya","Bamburi",-4.00736,39.73891,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",6282.5,1,0,0,0,0,0,0,6282.5,"Catch",2.0942,0.6146,251,84,0.977332425163494,0.93779876920687,2,26.01,27.5,NA,NA,NA,NA,549.59798154739,183.199327182463,8.74807770071452,0.457243309541397,11.6859380923238,3.89531269744125,0.186007769077975,21.5044781184553,3.45980737798274,1.15326912599425,0.0550705511815796,72.6341014240284,228.66641250861,76.2221375028701,3.63973597307776,1.09898081333015,339.03245271451,113.010817571503,5.39645766358154,0.741226976910121,265.601656256393,88.5338854187975,4.22764275776192,0.946153738429301,21.4310263298215,7.14367544327384,0.34112258384117,11.7259899797852
