"","TripID","Date","Country","Site","Latitude","Longitude","Observer","Fisher","TotalCrew","TrapsOwned","TrapsFished","TrapLocation","Depth_m","SoakTime_Days","TrapType","GapSize_cm","B.undulatus","BrowserMass_g","BrowserMassRatio","ScraperMass_g","ScraperMassRatio","GrazerMass_g","GrazerMassRatio","PredatorMass_g","PredatorMassRatio","TotalCatch_g","LowNoCatch","CPUE_kgPerTrap","CPUE_DistFromMean","TotalValue_KSH","ValuePUE","MeanLLmat","MeanTrophLevel","MeanVulnerability","MTC_degC","FECount","FRic","FEve","FDiv","TotalCa_mg","CaPUE","CaConc_mgPer100g","CaPrice_KSHPermg","TotalFe_mg","FePUE","FeConc_mgPer100g","FePrice_KSHPermg","TotalOmega3_g","Omega3PUE","Omega3Conc_gPer100g","Omega3Price_KSHPerg","TotalProtein_g","ProteinPUE","ProteinConc_gPer100g","ProteinPrice_KSHPerg","TotalVA_ug","VAPUE","VAConc_ugPer100g","VAPrice_KSHPerug","TotalSe_ug","SePUE","SeConc_ugPer100g","SePrice_KSHPerug","TotalZn_ug","ZnPUE","ZnConc_ugPer100g","ZnPrice_KSHPerug"
"11","XNWEK2877P",2010-11-09,"Kenya","Bamburi",-4.01019,39.73984,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",46135.5,0.9375,0,0,3075.7,0.0625,0,0,49211.2,"Catch",16.4037,2.0188,0,0,0.88255126980001,NA,NA,NA,NA,NA,NA,NA,1434.51151154864,478.170503849547,2.91501022439737,0,28.6912006935521,9.56373356451736,0.0583021765239459,0,8.20900863924465,2.73633621308155,0.0166811795673437,0,561.22036636791,187.07345545597,1.14043219098073,0,829.067613255975,276.355871085325,1.68471326294822,0,648.690586358571,216.230195452857,1.31817672879054,0,53.6178085304485,17.8726028434828,0.10895448298446,0
"12","HYCWH5883D",2010-11-10,"Kenya","Bamburi",-4.01048,39.73972,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",19284.3,0.8182,0,0,0,0,0,0,23569.7,"Catch",7.8566,0.4459,0,0,0.869884313603538,NA,NA,NA,NA,NA,NA,NA,893.794395065158,297.931465021719,3.79213309912794,0,19.2127730788573,6.40425769295244,0.0815147120194883,0,5.49042012951471,1.83014004317157,0.0232943997145263,0,394.890712284658,131.630237428219,1.67541679480289,0,581.627878381982,193.875959460661,2.4676931754837,0,519.619498574387,173.206499524796,2.20460802884376,0,37.4583371759985,12.4861123919995,0.158925812275924,0
"13","HYQKX0157I",2010-11-11,"Kenya","Bamburi",-4.01019,39.73981,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4","No",2220,0.75,0,0,0,0,0,0,2960,"Catch",0.9867,0.6054,0,0,0.895062161029502,NA,NA,NA,NA,NA,NA,NA,325.973203113947,108.657734371316,11.012608213309,0,6.61622198023435,2.20540732674478,0.223521012845755,0,1.9178826591377,0.639294219712566,0.0647933330789763,0,135.133904570862,45.0446348569539,4.56533461388047,0,210.027526270542,70.009175423514,7.09552453616696,0,168.191606277607,56.0638687592022,5.68214886072996,0,12.1001087647329,4.03336958824431,0.408787458268005,0
"14","IPIDS5341F",2010-11-12,"Kenya","Bamburi",-4.01044,39.73984,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",3363.2,1,0,0,0,0,0,0,3363.2,"Catch",1.1211,0.7937,0,0,0.930330349072562,NA,NA,NA,NA,NA,NA,NA,367.769186538038,122.589728846013,10.9350971258932,0,7.81976661203805,2.60658887067935,0.232509711347468,0,2.31516597167361,0.771721990557869,0.0688381889769745,0,153.014500308189,51.004833436063,4.5496699663472,0,226.867080176968,75.6223600589893,6.74557207947692,0,177.730101536311,59.2433671787704,5.2845534472024,0,14.3407934246828,4.78026447489426,0.426403229801463,0
"15","HPCDE0396R",2010-11-13,"Kenya","Bamburi",-4.01048,39.74023,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",10032,0.5556,0,0,4012.8,0.2222,0,0,18057.6,"Catch",6.0192,0.1077,0,0,1.16349986060089,NA,NA,NA,NA,NA,NA,NA,842.164691397464,280.721563799155,4.66376867024114,0,15.3713794617901,5.12379315393004,0.085124155268641,0,3.77092587942991,1.2569752931433,0.020882763376251,0,313.619111661179,104.53970388706,1.73677073177598,0,436.982220312814,145.660740104271,2.41993520906883,0,342.134887080139,114.044962360046,1.8946863762634,0,26.2447740393737,8.74825801312456,0.145339214731602,0
"16","JLOGZ9991K",2010-11-16,"Kenya","Bamburi",-4.00445,39.74246,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","3","Multiple","Multiple","No",7555.5,0.375,0,0,0,0,0,0,20148,"Catch",6.716,0.236,0,0,1.05959017938006,NA,NA,NA,NA,NA,NA,NA,1232.15376933361,410.717923111203,6.11551404275169,0,24.9232740084784,8.30775800282614,0.123700982769895,0,6.2143612576034,2.07145375253447,0.0308435639150457,0,473.84780660596,157.949268868653,2.35183545069466,0,604.097807005111,201.36593566837,2.99830160316215,0,966.132866283231,322.044288761077,4.79517999942044,0,51.4462960641363,17.1487653547121,0.255341949891484,0
"17","OLVNZ5963W",2010-11-17,"Kenya","Bamburi",-4.00478,39.74185,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",14566.2,0.6667,0,0,0,0,0,0,21849.3,"Catch",7.2831,0.3403,0,0,0.948906118712073,NA,NA,NA,NA,NA,NA,NA,1205.49130822277,401.830436074258,5.51729944768378,0,24.9112144394939,8.30373814649796,0.114013787350139,0,6.63875138732603,2.21291712910868,0.0303842749530924,0,449.276332924819,149.758777641606,2.05625046534589,0,596.531951882657,198.843983960886,2.73021081628545,0,716.496479441033,238.832159813678,3.27926514552426,0,48.6732892720372,16.2244297573457,0.222768186038167,0
"18","VTHJD0861J",2010-11-18,"Kenya","Bamburi",-4.00418,39.74146,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",4028.4,0.5,0,0,2685.6,0.3333,0,0,8056.8,"Catch",2.6856,0.5058,0,0,0.994962844536914,NA,NA,NA,NA,NA,NA,NA,654.531257307194,218.177085769065,8.12396059610756,0,11.0065500576806,3.66885001922686,0.13661193101083,0,2.7869286895339,0.928976229844632,0.0345910124309142,0,248.925473006494,82.9751576688315,3.08963202520225,0,380.019041608969,126.673013869656,4.71674910149152,0,364.76231710005,121.58743903335,4.52738453356233,0,20.8111022544336,6.9370340848112,0.258304814001013,0
"19","STPTK8463S",2010-11-19,"Kenya","Bamburi",-4.00478,39.74185,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",2740.2,0.6,0,0,0,0,0,0,4567,"Catch",1.5223,0.7198,0,0,0.790664649529083,NA,NA,NA,NA,NA,NA,NA,367.365746088035,122.455248696012,8.04391824147219,0,8.2731038468213,2.75770128227377,0.18114963535847,0,2.28361896086018,0.761206320286726,0.0500026047922088,0,171.060556863251,57.0201856210835,3.74557821027481,0,231.59556959929,77.1985231997634,5.07106567986184,0,308.616296261346,102.872098753782,6.75752783580789,0,17.7604883780276,5.92016279267588,0.388887417955499,0
"20","KFKJX0861R",2010-11-20,"Kenya","Bamburi",-4.00418,39.74192,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",2799.6,0.5,0,0,0,0,0,0,5599.2,"Catch",1.8664,0.6565,0,0,1.17917719695336,NA,NA,NA,NA,NA,NA,NA,574.250586284302,191.416862094767,10.2559398893467,0,10.5987222961103,3.53290743203676,0.189289939564764,0,2.61430165259648,0.871433884198826,0.0466906281718188,0,185.602964867024,61.8676549556745,3.31481220294013,0,233.045587475664,77.6818624918879,4.16212293677068,0,345.451813081587,115.150604360529,6.16966375699362,0,20.3631525322837,6.78771751076124,0.3636796780305,0
"21","HQDKA7068P",2010-11-22,"Kenya","Bamburi",-4.00439,39.74192,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Traditional","0","No",7980.8,0.4597,0,0,1995.2,0.1149,0,0,17361.4,"Catch",5.7871,1.0978,0,0,1.03778096256155,NA,NA,NA,NA,NA,NA,NA,1197.41880913252,399.139603044172,6.89701757423086,0,22.693018420409,7.56433947346965,0.130709611093627,0,5.04550151821922,1.68183383940641,0.0290616051598328,0,449.913361474306,149.971120491435,2.59145784023354,0,578.891034618498,192.963678206166,3.33435687570414,0,709.504876447582,236.501625482527,4.08668008598144,0,46.0583755738823,15.3527918579608,0.26529182884953,0
"22","EFHAN9863E",2010-11-23,"Kenya","Bamburi",-4.00478,39.74185,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",7799.6,0.4,0,0,1949.9,0.1,0,0,19499,"Catch",6.4997,0.1961,0,0,0.872068094157067,NA,NA,NA,NA,NA,NA,NA,1094.3811362405,364.793712080165,5.61249877552949,0,21.2745562105478,7.09151873684926,0.109105883432729,0,4.96403092184753,1.65467697394918,0.0254578743620059,0,368.570262480907,122.856754160302,1.89020084353509,0,442.595468326608,147.531822775536,2.26983675227759,0,735.036494587072,245.012164862357,3.76961123435598,0,45.1717536538283,15.0572512179428,0.231661898834957,0
"23","JRCYA9935L",2010-11-24,"Kenya","Bamburi",-4.00439,39.74192,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4","No",0,0,0,0,0,0,0,0,1241.6,"Catch",0.4139,0.8345,0,0,1.37386288695999,NA,NA,NA,NA,NA,NA,NA,223.76248011894,74.5874933729801,18.0221069683425,0,3.58334082448554,1.19444694149518,0.288606703003023,0,1.08451856166396,0.361506187221321,0.0873484666288629,0,116.135619367154,38.7118731223846,9.35370645676173,0,896.317110618864,298.772370206288,72.1904889351533,0,366.583165309349,122.19438843645,29.5250616389617,0,8.12330163039905,2.70776721013302,0.654260762757655,0
"24","PGIDM0425L",2010-11-25,"Kenya","Bamburi",-4.00293,39.74487,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",0,0,0,0,0,0,0,0,13493.7,"Catch",4.4979,0.1722,0,0,1.49165016509381,NA,NA,NA,NA,NA,NA,NA,974.60014338454,324.866714461513,7.22263088244544,0,14.1193514149939,4.70645047166464,0.104636618681266,0,2.90445969018311,0.968153230061038,0.0215245610187207,0,285.734801746115,95.2449339153717,2.11754227340252,0,395.955787078304,131.985262359435,2.93437520530547,0,586.200744316106,195.400248105369,4.34425505470039,0,29.4096412895942,9.80321376319807,0.217950905160143,0
"25","BJMQU9869H",2010-11-26,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",1767.9,1,0,0,0,0,0,0,1767.9,"Catch",0.5893,0.8916,0,0,0.927008037656284,NA,NA,NA,NA,NA,NA,NA,239.345634454441,79.7818781514803,13.538414755045,0,4.80497466841064,1.60165822280355,0.271789958052528,0,1.29999282485008,0.433330941616694,0.0735331650461045,0,109.640154197877,36.5467180659589,6.20171696350906,0,149.409646607873,49.8032155359577,8.45124987883213,0,117.558655244817,39.1862184149391,6.64962131595776,0,8.65915649438399,2.886385498128,0.489798998494485,0
"26","CPVRB2644Z",2010-11-27,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",1978.5,0.6,0,0,0,0,0,0,3297.5,"Catch",1.0992,0.7977,0,0,1.01128927243365,NA,NA,NA,NA,NA,NA,NA,378.982184615262,126.327394871754,11.4930154545948,0,5.94392144767892,1.98130714922631,0.180255388860619,0,1.5911341231814,0.530378041060465,0.0482527406575101,0,122.199275270152,40.7330917567172,3.70581577771499,0,189.125532597326,63.0418441991085,5.73542176185976,0,161.458701376104,53.819567125368,4.89639731239132,0,10.339151510064,3.446383836688,0.313545155725975,0
"27","WBZTO1167S",2010-11-29,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",909.2,0.1429,0,0,1818.4,0.2857,0,0,6364.4,"Catch",2.1215,0.6096,0,0,1.14588317663655,NA,NA,NA,NA,NA,NA,NA,607.589308504701,202.529769501567,9.54668638842155,0,8.50009679320727,2.83336559773576,0.13355692277681,0,1.66109383653719,0.553697945512396,0.0260997711730436,0,173.624506935732,57.874835645244,2.72805774206103,0,227.263966072841,75.7546553576137,3.57086239194333,0,268.251301662962,89.4171005543208,4.21487181294328,0,16.2396925365607,5.41323084552022,0.255164548685825,0
"28","SSUMW7952W",2010-12-01,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",12213.5,0.4545,0,0,2442.7,0.0909,0,0,26869.7,"Catch",8.9566,0.6483,0,0,1.19983964683172,NA,NA,NA,NA,NA,NA,NA,1253.46273728163,417.82091242721,4.66496736949661,0,20.3607249520561,6.78690831735203,0.0757757807197552,0,4.90836581832889,1.63612193944296,0.0182672892452424,0,447.621201025112,149.207067008371,1.66589578977477,0,857.562775422724,285.854258474241,3.19156066283853,0,735.66626438357,245.222088127857,2.73790278411583,0,38.5339383718688,12.8446461239563,0.143410378128036,0
"29","MEVCJ4686R",2010-12-02,"Kenya","Bamburi",-4.00293,39.74487,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Traditional","0","No",3922,1,0,0,0,0,0,0,3922,"Catch",1.3073,0.5261,0,0,0.973059509155227,NA,NA,NA,NA,NA,NA,NA,428.874509277529,142.958169759176,10.9350971258932,0,9.1190308790477,3.03967695968257,0.232509711347468,0,2.69983377167694,0.89994459055898,0.0688381889769745,0,178.438056080137,59.4793520267124,4.5496699663472,0,264.561336957085,88.1871123190283,6.74557207947692,0,207.260186199278,69.0867287330927,5.2845534472024,0,16.7235346728134,5.57451155760445,0.426403229801462,0
"30","FOTXU5307I",2010-12-04,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","2","Multiple","Multiple","No",7475.6,0.3333,0,0,5606.7,0.25,0,0,22426.8,"Catch",7.4756,0.3757,0,0,1.09030677925695,NA,NA,NA,NA,NA,NA,NA,1030.68524492246,343.561748307486,4.59577489843605,0,15.38303445433,5.12767815144332,0.0685921952946027,0,3.8992354714984,1.29974515716613,0.0173864995072788,0,344.600931655048,114.866977218349,1.53655863366618,0,632.277673137239,210.75922437908,2.81929509844132,0,470.920831057425,156.973610352475,2.09981286254582,0,30.2489854966716,10.0829951655572,0.134878741044962,0
"31","BJLEL6890U",2010-12-05,"Kenya","Bamburi",-4.0027,39.74464,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",8099.4,0.8571,0,0,0,0,0,0,9449.3,"Catch",3.1498,0.4203,0,0,0.979276003679365,NA,NA,NA,NA,NA,NA,NA,575.850980468662,191.950326822887,6.09411258472756,0,11.5633882127928,3.85446273759761,0.122372961095455,0,3.47219396037074,1.15739798679025,0.0367455151214454,0,245.828968001046,81.9429893336821,2.60155744871098,0,694.813549202176,231.604516400725,7.35306900195968,0,352.461434863078,117.487144954359,3.73002693176297,0,21.1676798040587,7.05589326801957,0.224013205253921,0
"32","EFVEF4761E",2010-12-06,"Kenya","Bamburi",-4.00736,39.73891,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",6282.5,1,0,0,0,0,0,0,6282.5,"Catch",2.0942,0.6146,0,0,0.977332425163494,NA,NA,NA,NA,NA,NA,NA,549.59798154739,183.199327182463,8.74807770071452,0,11.6859380923238,3.89531269744125,0.186007769077975,0,3.45980737798274,1.15326912599425,0.0550705511815796,0,228.66641250861,76.2221375028701,3.63973597307776,0,339.03245271451,113.010817571503,5.39645766358154,0,265.601656256393,88.5338854187975,4.22764275776192,0,21.4310263298215,7.14367544327384,0.34112258384117,0
"33","BWQHO9917Q",2010-12-07,"Kenya","Bamburi",-4.00716,39.73902,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",4769.2,0.8,0,0,0,0,0,0,5961.5,"Catch",1.9872,0.6343,0,0,0.959780258556187,NA,NA,NA,NA,NA,NA,NA,489.856419039817,163.285473013272,8.21699939679303,0,9.88002506152814,3.29334168717605,0.165730521874162,0,2.85982949106235,0.953276497020784,0.0479716428929355,0,217.942786963131,72.6475956543771,3.65583807704657,0,433.275361191386,144.425120397129,7.26789165799523,0,271.584183109766,90.5280610365886,4.55563504335764,0,18.9296327866133,6.30987759553777,0.317531372752048,0
"34","UYJVI7149O",2010-12-08,"Kenya","Bamburi",-4.00716,39.73902,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Gated","4","No",801.2,0.5,0,0,0,0,0,0,1602.4,"Catch",0.5341,0.7864,0,0,1.66475934905659,NA,NA,NA,NA,NA,NA,NA,322.962506371569,107.654168790523,20.1549242618303,0,5.58552563094575,1.86184187698192,0.348572493194318,0,1.74530366184065,0.581767887280218,0.108918101712472,0,146.118413929287,48.706137976429,9.11872278640083,0,838.498264794704,279.499421598235,52.3276500745572,0,295.706532017784,98.5688440059281,18.4539772851837,0,10.1707184306705,3.39023947689018,0.63471782517914,0
"35","VAWBH5110C",2010-12-09,"Kenya","Bamburi",-4.00734,39.73921,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",2674.2,1,0,0,0,0,0,0,2674.2,"Catch",0.8914,0.836,0,0,1.08635652452593,NA,NA,NA,NA,NA,NA,NA,389.901823120846,129.967274373615,14.5801295011909,0,8.29036626780533,2.76345542260178,0.310012948463291,0,2.454494466163,0.818164822054334,0.0917842519692993,0,162.223032320076,54.0743441066919,6.06622662179627,0,240.520118065829,80.1733726886097,8.99409610596923,0,188.426037713449,62.8086792378163,7.04607126293653,0,15.2038335618009,5.06794452060032,0.568537639735283,0
"36","YYOZK3976A",2010-12-10,"Kenya","Bamburi",-4.00716,39.74012,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",388.2,0.5,0,0,0,0,0,0,776.4,"LowNoCatch",0.2588,0.9524,0,0,1.19663601924194,NA,NA,NA,NA,NA,NA,NA,146.877365583397,48.9591218611322,18.9177441503602,0,2.05421712483715,0.684739041612385,0.264582319015605,0,0.684594558575403,0.228198186191801,0.0881754969829215,0,70.9063071795553,23.6354357265184,9.13270314007667,0,623.755276792139,207.91842559738,80.3394225646753,0,187.43174440502,62.4772481350067,24.141131427746,0,3.70665863444446,1.23555287814815,0.477416104384913,0
"37","KDQIA0254U",2010-12-11,"Kenya","Bamburi",-4.00734,39.73921,"Mbaru","VTSZT8517P",1,6,3,"Kenyatta","<20","1","Multiple","Multiple","No",4467,0.4286,0,0,0,0,0,0,10423,"Catch",3.4743,0.3606,0,0,1.46748108302457,NA,NA,NA,NA,NA,NA,NA,755.35023348868,251.783411162893,7.24695609218728,0,10.9947912133516,3.66493040445054,0.105485860245146,0,3.1171095829371,1.0390365276457,0.0299060691061796,0,274.723396650193,91.5744655500642,2.63574207665924,0,1252.36506396007,417.455021320023,12.0153992512719,0,510.796612801868,170.265537600623,4.90066787682882,0,19.4129381211352,6.47097937371175,0.18625096537595,0
