"Species","Family","FishGroups","EnglishName","KiswahiliName","Bycatch","Price_KSHPerkg","FunGr_Diet","TrophLevel","SE_TrophLevel","Vulnerability","Lmat_cm","Lopt_cm","Linf_cm","SizeCategory","Diet","Mobility","Active","Schooling","Position","TempPrefMin_degC","TempPrefMean_degC","TempPrefMax_degC","Calcium_mgPer100g","Calicum_L95","Calcium_U95","Iron_mgPer100g","Iron_L95","Iron_U95","Omega3_gPer100g","Omega3_L95","Omega3_U95","Protein_gPer100g","Protein_L95","Protein_U95","VitaminA_ugPer100g","VitaminA_L95","VitaminA_U95","Selenium_ugPer100g","Selenium_L95","Selenium_U95","Zinc_ugPer100g","Zinc_L95","Zinc_U95"
"Leptoscarus vaigiensis","Scaridae","Parrotfishes","Seagrass parrotfish","Pono","No",120,"Browser",2.27,0.17,24.71,18.6645956397723,24.4794321991681,30.4290539759695,"S4","Herbivorous detritivorous","Mob","Day","MedG","Bottom",24.3,28.2,29.3,51.183992609768,27.7728726951066,98.386760112327,0.802923564467635,0.473797219295662,1.2725284904084,0.107325650406506,0.0637704927414594,0.167235743942478,18.7359931658092,16.6392506819294,20.601488950292,25.3498774931434,7.97854409729844,80.5896031430695,38.6453000731839,20.5011738023205,73.9641011419748,1.63748685817832,1.10312520543354,2.55366876175531
"Ctenochaetus striatus","Acanthuridae","Surgeonfishes","Stripped bristletooth","Togoo","Yes",120,"Detritivore",2,0,18.05,19.0241061815703,18.9758584532481,23.886374723415,"S3","Omnivorous","Sed","Day","MedG","Bottom",24.6,27.8,29,34.0372275968444,21.1448693726739,59.6373445549658,0.239528527678066,0.123519482265646,0.592413950253253,0.125975109171893,0.0816174551046165,0.193711644996227,18.6231506832011,17.4664273310799,19.7516060436805,21.8560272708912,5.63007636932604,81.38666407578,22.5522298065506,12.9132025986244,41.7108942750719,0.429057219747155,0.289574128646769,1.30969480742008
"Ostracion cubicum","Ostraciidae","Trunkfishes","Yellow boxfish","Fufu","Yes",0,"Variable",3.37,0.48,23.35,19.0241061815703,18.9758584532481,23.886374723415,NA,NA,NA,NA,NA,NA,24.5,28,29,46.7513178835063,18.4991285011882,97.537463891326,0.580871554509677,0.361740457796935,1.15656510218858,0.118229744647076,0.06146778703737,0.21718234624006,18.8071753601194,16.4901964215969,21.0233393584705,40.5762420161034,12.6256269738091,128.175448475309,36.5828650229509,19.5222670817661,77.7131873960127,1.02132573102953,0.672528631474438,1.55024609997394
"Scarus russelii","Scaridae","Parrotfishes","Russel's snappers","Pono","No",120,"Scrapers/Excavators",NA,NA,31.19,21.2019595515219,29.6403145749041,35.7955865289913,"S5","Herbivorous detritivorous","Mob","Day","SmallG","Bottom",25.7,28.3,29.3,33.210346908586,21.8488337681208,52.6048389858744,0.76423279346482,0.527953835386609,1.1067322132697,0.0889095240980912,0.0612998782089337,0.127108468848108,18.7820306210897,16.6810630591118,20.6578919209504,22.1172862042101,6.91797107403174,70.0045516183292,20.5665948582851,13.4591173284236,32.2353997046913,2.17549356399088,1.59450986077815,2.87781883767849
"Arothron hispidus","Tetraodontidae","Puffers","White-spotted puffer",NA,"Yes",0,"Variable",3.09999990463257,0.3797,34.01,16.4716087191905,16.9924569711277,29.0515601006601,"S5","Sessile Inverts","Mob","Day","Sol","Bottom",23.7,27.7,29,55.1720041564314,18.4208185107112,114.14934136093,0.752153446914437,0.406269799004075,1.53429686854269,0.222709834147187,0.0976109080928533,0.51190933906935,17.5464414134762,15.2411572250311,19.826401699183,45.3697770434078,10.8715849393869,166.701956723305,36.2672358939883,15.8485049845419,88.3306830526124,1.34231138522971,0.829182381205616,2.19830217507294
"Arothron nigropunctatus","Tetraodontidae","Puffers","Black spotted puffer",NA,"Yes",0,"Predator",3.07,0.34,25.85,16.4716087191905,16.9924569711277,29.0515601006601,"S4","Sessile Inverts","Mob","Day","Sol","Bottom",24.7,28.4,29.3,60.0730877668635,23.5747708255137,127.395589574255,0.650801421917321,0.406342870176218,1.29791128279346,0.124613627004069,0.064643197089665,0.230606533385009,18.7894567523395,16.513394920045,20.9911259838243,42.8646186239354,12.9826182982758,139.222738203448,34.6435331375906,18.0100508744872,73.5691401214226,1.10962885025037,0.723790318904423,1.69643536350593
"Lethrinus mahsena","Lethrinidae","Emperors","Sky emperor","Tukwana","No",200,"Pisc-Macro-Invert",3.4300000667572,0.417,64.89,31.5395871506867,39.8619316117561,59.5898779223904,"S5","Mobile Inverts","VMob","Night","SmallG","Bottom",25.4,27.5,29.2,27.363725833553,18.287381922207,38.6034469675307,0.660367178228682,0.453341512675374,0.965807251033772,0.120917095529385,0.088369873802002,0.166774644919457,20.0642902760117,17.7067051885005,22.0491689200838,28.2938971392402,6.57148065696422,168.005007605609,46.2856465646631,29.2878294426466,72.5586017653644,2.04956810630042,1.44885416565124,2.69973615984963
"Lethrinus nebulosus","Lethrinidae","Emperors","Spangled emperor","Changu","No",200,"Pisc-Macro-Invert",3.64000010490417,0.5399,45.8,36.5080351427456,45.5121780799512,69.3470258605076,"S6","Mobile Inverts","VMob","Night","MedG","Bottom",24.2,28,29,38.0169710020995,20.9256742498072,63.585268604891,0.945327777459112,0.560223802739374,1.64941444148164,0.246945033191322,0.132040331334086,0.471964433762374,19.2673112465058,16.9721285796368,21.3790985136417,21.2333912872821,4.73207635061313,133.918132178598,53.4789302460796,22.6646385337412,107.886654340936,2.36195182282797,1.5478495695853,3.41915950720271
"Diodon holocanthus","Tetraodontidae","Puffers","Balloonfish",NA,"Yes",0,"Predator",3.31,0.43,27.17,19.0749683029736,20.4815368358386,35.6931336014697,"S4","Mobile Inverts","Mob","Both","Sol","Bottom",21.5,27.3,29,33.8530627330889,12.8377462112132,86.0405052795616,0.856045362677612,0.449122959545933,1.83179272051387,0.187520551787955,0.0914325474671532,0.370585191817673,19.7810011408922,17.6111274160883,21.9888880285609,24.0922845904562,5.88209456799647,99.4348173066543,19.149464460906,8.46053121237979,46.7401433575951,0.72536536281894,0.431639010687172,1.21146975517779
"Lagocephalus inermis","Tetraodontidae","Blaasops","Smooth blaasop",NA,"Yes",0,NA,NA,NA,35.78,12.6210886000158,12.8765895482047,22.1672216943546,NA,NA,NA,NA,NA,NA,16.6,26.4,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodon liturosus","Diodontidae","Porcupinefishes","Porcupine","Bunju miiba","Yes",0,"Predator",3.5,0.37,29.57,19.0749683029736,20.4815368358386,35.6931336014697,"S5","Mobile Inverts","Mob","Both","Sol","Bottom",24.7,28.1,29.1,38.9212954707758,15.3384578956659,82.3246715041689,0.544596579534275,0.33781222995911,1.10289930978331,0.113469383693125,0.0595171055565225,0.208849999443983,18.9644149937181,16.6609815342948,21.180178281686,31.5379259221081,9.60650220405627,102.068630719423,41.4080715731412,21.8883395033363,89.8270183609199,0.913242347562589,0.602702070091189,1.40314348394577
"Lethrinus lentjan","Lethrinidae","Emperors","Pink ear emperor","Changu","No",200,"Pisc-Macro-Invert",3.86999988555908,0.5445,24.93,24.3889249532713,29.0402810467821,40.7449127977062,"S5","Mobile Inverts","Mob","Night","SmallG","Bottom",24.6,28,29,68.9939386062785,35.8052016861031,118.598545218727,1.30729960655558,0.734459546239716,2.33605005412536,0.275142123458154,0.139745120936174,0.544158826226966,19.4296512514235,17.129086290774,21.49434844986,17.3103899120358,3.72946632563496,105.373117167944,52.9057792001423,19.5347989894878,112.632117273191,2.69490924432854,1.73568125637926,3.99483504667396
"Scarus niger","Scaridae","Parrotfishes","Swarthy parrotfish","Pono","No",120,"Grazer",2,0,19.91,22.8232432535155,30.4075192444136,35.6519688203566,"S4","Omnivorous","Mob","Day","Sol","Bottom",24.9,28.3,29.3,44.3320985893859,29.3842759165767,69.0958867920626,0.895348996403513,0.616789521477861,1.34333316545184,0.0930080869796192,0.0645029185997318,0.133236976755311,18.8404377062524,16.74630019796,20.6959269357591,19.0879531272787,6.11973909135172,62.110110567547,20.496331266956,13.7155278445664,31.9158986665302,2.3275632889395,1.70527962447489,3.07576664897813
"Scarus psittacus","Scaridae","Parrotfishes","Palenose parrotfish","Pono","No",120,"Scrapers/Excavators",2,0,16.13,16.7880871233022,23.4861145240738,29.189832383436,"S4","Omnivorous","Mob","Day","MedG","Bottom",24.7,28.1,29,58.8469132504774,38.3608025185949,95.7841605731588,1.0819556724377,0.710285408703565,1.74955173225136,0.0957358663142469,0.0644657920491483,0.141512839835743,18.9777496823058,16.834896715531,20.8906976029774,13.7472945797532,3.96479230766133,48.8550440566167,21.6183163873269,13.6473694509596,35.2922931337551,2.44737616572933,1.73512236693062,3.30055508394295
"Scarus ghobban","Scaridae","Parrotfishes","Blue parrotfish","Pono","No",120,"Scrapers/Excavators",2,0,36.1,18.97752889319,26.1834686837272,31.4557695900176,"S5","Omnivorous","Mob","Day","SmallG","Bottom",24.5,28,29.1,32.3528608902888,16.6295699285965,59.9444598941547,0.913492424725609,0.515897322599418,1.63560474163391,0.166304769181086,0.0863553748249081,0.323151747583329,17.6494098270346,15.4429532525553,19.6296002523588,22.9035360778725,5.50115786423893,92.5584254658951,21.6327484875379,10.3011084140049,46.1561822227799,2.57728217028367,1.69630972621495,3.88997248947118
"Chaetodon lineolatus","Chaetodontidae","Butterflyfishes","Threadfin butterflyfish","Kikorokoro","Yes",80,"Predator",3.39,0.55,23.58,8.28462022115478,9.03050790143304,13.9345513902065,"S4","Sessile Inverts","Sed","Day","Pair","Bottom",23.7,27.6,28.9,63.3198464099202,38.8832868244006,99.524902494635,0.663091701493544,0.443883428982446,1.07658005675574,0.133183174064643,0.0890840443857197,0.197314445274852,19.1987189884609,18.1443887187404,20.1984205654344,42.0330034135818,13.764977995119,123.956237792799,32.6553861320285,18.9957373033792,58.5965629882511,1.14357157673448,0.789318093825519,1.64505971110967
"Siganus stellatus","Siganidae","Rabbitfishes","Stellate rabbitfish","Tafi","No",200,"Browser",2.7,0.3,24.3,20.7117043613887,21.3077476986205,29.5318281667467,"S4","Herbivorous detritivorous","Mob","Day","Pair","Bottom",25.3,28.1,29.1,35.7227676950779,15.8298084313763,86.1724854763178,0.635853278358145,0.293213849897824,1.39267924351714,0.134882156989674,0.0702192667625583,0.26091231034964,19.2414895088979,17.8782430785326,20.5672994485407,22.8042393629417,7.02832927560757,72.1949942432951,18.0869126949316,7.70096306967323,46.906035273611,1.09959618498901,0.497434665351238,2.37290626880859
"Aluterus scriptus","Monacanthidae","Filefishes","Scrawled filefish","Sharifu","Yes",80,"Variable",3.02,0.19,67.69,10.0772217452913,10.1700721553038,17.6556603074339,"S6","Planktivorous","VMob","Both","Sol","Low",22.6,27.4,29,13.264913002666,4.35338232730705,31.130438545078,0.604654342085734,0.314796751731896,1.36464027901064,0.126814858544611,0.056201630361683,0.2736434855253,19.2058424226708,16.8660063657066,21.4902732958333,20.3145605563094,4.7305994668826,81.4486256973521,20.831798837459,9.13090515376439,50.4837801938573,0.696398059813784,0.38460529641326,1.23500123962831
"Lethrinus variegatus","Lethrinidae","Emperors","Slender emperor","Changu","No",200,"Invert-Macro",3.5,0.37,25.51,19.7423528028571,22.5816271358641,33.0174274872441,"S3","Mobile Inverts","VMob","Both","MedG","Bottom",24.2,27.9,29,78.406296326594,52.1754483177645,124.68121757252,1.04039240992007,0.726824898990038,1.54626113891357,0.156992018761331,0.109532233421187,0.225687017845508,20.2064765088796,17.9329338282782,22.186472390047,35.3551399524834,8.40289577717174,207.81206561751,38.79568136731,23.5433467849052,59.6626283207301,2.66530928862005,1.90250270016225,3.63657891186627
"Dascyllus trimaculatus","Pomacentridae","Damselfishes","Scissor tail sergeant","Kitange","No",80,"Planktivore",2.8,0.1,25.07,7.01902626066066,7.98409839174168,12.3618042047749,"S2","Planktivorous","Sed","Day","SmallG","Bottom",24.6,28,29,69.7633017877304,39.44116319134,116.40326861314,0.849954399010706,0.542372373497849,1.37528782332978,0.14182942707488,0.0831149600520056,0.235522128290507,18.3829831444467,17.2774808435099,19.4731918517016,106.979983961759,32.6471732026328,362.642585991906,23.9420816096108,11.5811136242939,47.9435493208646,1.36237380037439,0.897246974480773,2.05268824190717
"Naso brachycentron","Acanthuridae","Surgeonfishes","Humpback unicornfish","Togoo","Yes",120,"Browser",2.67,0.29,66.75,23.0760143416832,25.3911713555135,34.6904135426178,"S5","Macroalgal herbivorous","VMob","Day","MedG","Bottom",25.7,28.1,29,20.9990776174284,11.1610618730566,35.6411352898967,0.416808681905926,0.227305832852243,0.707518897954865,0.116976841919599,0.0750964317582018,0.199059906416657,19.0937920509387,18.0036407719142,20.0925230139173,49.0886119267034,15.6695393196149,140.040108064059,40.0059559759718,21.7268756212447,75.265588511429,1.05469287708994,0.632738867161892,1.57089092617983
"Rhinecanthus aculeatus","Balistidae","Triggerfishes","Picassofish","Kikande","Yes",160,"Predator",3.22000002861023,0.426,29.81,14.3454534641279,14.286219454496,29.9216466185667,"S4","Mobile Inverts","Sed","Day","Sol","Bottom",24.5,27.7,29,57.645990004673,22.6350064983634,120.534920443245,0.634954706164528,0.399159590683341,1.2462258105174,0.125239187952805,0.0627315271730283,0.250943160391035,18.6222321619999,16.5256952092642,20.6497319485714,49.5272864362933,15.1268061068033,157.256104382394,32.5650256984822,17.1126005429444,67.707109116733,1.17023646182948,0.76554592593453,1.79246505086007
"Cephalopholis argus","Serranidae","Groupers","Paecock grouper","Kivungwi","No",200,"Predator",4.16,0.73,48.76,19.1063060821972,21.0684265041684,33.3867090792347,"S5","Carnivorous","Sed","Both","Sol","Bottom",24.9,28.4,29.3,35.9181265383782,20.4682727807457,60.6314232165445,0.522245571785578,0.28989468196224,0.892040419220087,0.166571835432705,0.10622871361539,0.262654814574087,18.6505425066804,16.6392220737846,20.536404882721,167.921198602717,59.3480047293408,517.264974121574,41.6496572823844,24.0372954519319,68.7666869537897,0.690118359224397,0.491666309167661,1.13703588790973
"Chaetodon vagabundus","Chaetodontidae","Butterflyfishes","Threadfin butterflyfish","Kikorokoro","Yes",80,"Predator",2.9,0.4,17.81,8.28462022115478,9.03050790143304,13.9345513902065,"S3","Mobile Inverts","Sed","Day","Pair","Bottom",24.7,28.4,29.3,72.592164112488,45.0702964082727,116.385935159193,0.762695047995298,0.505350663062216,1.20707572718055,0.128771441441603,0.0844854173909638,0.191754868324216,18.9584149221777,17.9042562557502,19.9906936200526,36.4495086067521,11.9136489823466,114.748736838959,31.4160546701311,17.8622531005026,56.9397761500981,1.31633773311369,0.902203796957713,1.90704268670157
"Thalassoma purpureum","Labridae","Wrasses","Tripletail wrasse","Stefua","Yes",160,"Cleaner",3.75,0.57,44,10.945674657153,12.3020981019753,20.0809387319913,"S4","Mobile Inverts","Mob","Day","SmallG","Bottom",24.6,28.3,29.3,40.6618573381942,25.0384706568407,69.9475593055469,0.511969781922151,0.285983690738851,0.868448999990142,0.142373495936177,0.0958499241896611,0.20593467747564,18.9294145289053,16.0615115247266,21.2291470183497,98.8020119921982,34.0921536756776,309.33721202116,37.7622370494279,22.4205668589808,59.1151850372276,1.24306552278237,0.877384438290799,2.20755081675449
"Rhinecanthus rectangulus","Balistidae","Triggerfishes","Wedge piucassofish","Kikande","Yes",160,"Variable",NA,NA,29.77,15.7457641432281,15.7608924034281,32.8688801357556,"S4","Mobile Inverts","Sed","Day","Sol","Bottom",24.8,28.3,29.3,59.0795705464967,23.3650752804099,125.769221903528,0.618753867618274,0.376605207778002,1.2309738486342,0.131226116406505,0.0663891816195559,0.263387496749319,18.7438022913444,16.6813085917231,20.7706056616644,57.1048719262627,17.5840837599423,183.744664159184,32.1137118786745,16.6528664488337,68.292396027614,1.12346499707676,0.731644452073648,1.71401366015068
"Chaetodon lunula","Chaetodontidae","Butterflyfishes","Threadfin butterflyfish","Kikorokoro","Yes",80,"Predator",2.99,0.39,15.01,8.28462022115478,9.03050790143304,13.9345513902065,"S3","Sessile Inverts","Sed","Both","Pair","Low",23.7,27.7,29,86.9561390581199,52.3611098240248,146.982855051047,0.726287355320355,0.47386854483307,1.24425531651461,0.148960494954813,0.0944704987214828,0.23369940293201,19.2636275869567,18.2012553604243,20.3243644604534,54.9138397908356,17.9311130000705,169.430482521812,29.4558540087425,16.2665765502673,56.7116840867374,1.22576496925124,0.827820227138283,1.7988972167918
"Cheilinus trilobatus","Labridae","Wrasses","Tripletail wrasse","Stefua","Yes",160,"Invert-Macro",3.92000007629395,0.6061,42.75,14.6500799280078,17.2052859842807,27.9242387677478,"S4","Mobile Inverts","Mob","Day","Sol","Bottom",25.2,28.4,29.3,45.7619058961969,20.307642548349,109.367808418645,0.787905103510902,0.302673638960377,1.67346432826531,0.177691245543139,0.0801917909979013,0.389330968773674,16.7977856399021,12.8639152726592,20.2176951418098,261.888109362482,38.689606347149,1483.28212328326,30.3875305686443,11.8597072197226,78.6872951377026,3.0943957559965,1.53766831309372,5.06012484658064
"Diodon hystrix","Diodontidae","Porcupinefishes","Porcupine","Bunju miiba","Yes",0,"Predator",3.61,0.56,48.2,19.0749683029736,20.4815368358386,35.6931336014697,"S6","Mobile Inverts","Mob","Both","Sol","Bottom",23.3,27.4,29,22.0889414661374,8.57901939801544,53.1422760923827,0.751706094478307,0.395713839096959,1.5777820956513,0.165572896790762,0.0804344102379853,0.322083279518238,19.7995114280056,17.631624473982,22.0292380269414,16.5692173233069,4.07934108130294,67.8439020008166,22.0403393974832,10.2336441589139,53.5583039153804,0.634924884133835,0.38066651290123,1.04567924940617
"Platax teira","Ephippidae","Batfishes","Longfin batfish",NA,"Yes",NA,"Predator",3.95,0.64,52.42,23.174369448648,27.5955427026966,42.5650326951497,"S5","Omnivorous","VMob","Day","MedG","Low",24.6,28.2,28.9,30.9110112054095,18.6160774639302,48.0575513104225,0.422639062757114,0.263652818016382,0.701187286245947,0.125850714792745,0.083697374851567,0.188201041314046,19.3920721140881,18.274654731219,20.4514150803804,58.9935117951116,18.4637098761737,177.331304105151,35.6155850931143,20.5981311909764,65.140898054661,0.836176380444525,0.579448057360455,1.20458170669336
"Plectorhinchus flavomaculatus","Haemulidae","Sweetlips","Gold spotted sweetlips","Fute","Yes",160,"Pisc-Macro-Invert",3.99,0.66,48.76,31.6921391147686,35.6654952096118,58.913525511549,"S5","Mobile Inverts","Mob","Day","SmallG","Bottom",22,27.6,29.1,36.227347737588,21.4079598813726,62.8968855902995,0.482351467787486,0.272835364927534,0.833434453661442,0.139900155559221,0.078255810462105,0.218635202650078,19.7082541955872,17.7579809372944,21.6585472974189,79.0730760564843,32.2166764408713,182.871370099236,40.5651078678569,22.9747341781258,69.4281878407158,0.952142518038897,0.580061933520413,1.36611718589044
"Oxycheilinus bimaculatus","Labridae","Wrasses","Twospot wrasse","Stefua","Yes",160,"Predator",3.5,0.57,24.31,15.0189624185831,17.4477716233074,28.2070269166555,"S3","Mobile Inverts","Mob","Day","Sol","Bottom",25.2,28,29,84.0225213429681,30.6641947710827,232.217610408744,0.901282136087215,0.385615157776028,2.40500883779372,0.166458575097787,0.0819870973118166,0.335188037705707,18.6898310389453,15.8471991583079,20.9519662059208,119.110235083923,40.4493899532961,373.577907558715,31.5012745086295,11.1761455881749,91.6621296256192,2.51334578883682,1.0457598262136,4.60255453407284
"Naso lituratus","Acanthuridae","Unicornfish","Naso tang","Puju","No",120,"Browser",2.32,0.19,34.14,23.1681302785004,25.3865171267855,34.2403929521558,"S4","Macroalgal herbivorous","Mob","Day","SmallG","Bottom",24.5,27.7,28.9,38.1406261189537,20.7525678698947,65.5616893204723,0.590917761652735,0.354053589741445,0.981565511281133,0.111593906113406,0.0714264662224623,0.179363989246191,18.745786900516,17.6244393613479,19.8233065529448,24.944872825994,6.93432100670763,84.9151764173851,34.0498940049015,17.5950900533222,66.5815922525864,1.17442393190376,0.701405258705929,1.82049486862545
"Epinephelus merra","Serranidae","Groupers","Honeycomb grouper","Tewa","No",200,"Predator",4.38,0.79,28.85,20.5548958344199,23.4335237955409,35.919135028075,"S4","Carnivorous","Mob","Both","Sol","Bottom",24.6,27.8,29,40.0156157356141,20.1306398367506,91.7586834732347,0.783757513476706,0.39147159227537,1.60451457370927,0.138467493721416,0.0859488135909596,0.227284757879989,18.3887252862594,16.7863662892744,19.7333521905586,224.817715638576,58.4636633965909,830.713343258283,35.9870101781757,19.261126564408,66.7189897852231,1.37226456933433,0.830904149184378,2.12639129200929
"Siganus lineatus","Siganidae","Rabbitfishes","Lined rabbitfish","Tafi","No",200,"Grazer",2,0,25.18,21.5205836901927,22.411005563707,31.1931227547479,"S4","Herbivorous detritivorous","VMob","Day","MedG","Bottom",24.9,28,29,33.4655562180827,16.2763625634312,73.9527411385355,0.722068160672673,0.356734995312983,1.33782566531702,0.132574205509392,0.0751425548735869,0.237818347554373,19.2585533107729,18.1007015103555,20.3772800984914,20.2353403429737,6.42900561464946,65.4946039834804,21.8825475336047,10.5297565307006,48.1990284920911,1.36346170173351,0.648348172314213,2.80226356619559
